,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",256.87,263.49,255.1,259.18,1248900
1,"Jan 30, 2018",260.35,261.5,255.5,256.37,604400
2,"Jan 29, 2018",258.49,262.7,255.5,259.95,821400
3,"Jan 26, 2018",248.9,261.0,245.51,258.27,1432100
4,"Jan 25, 2018",254.0,254.88,245.0,249.25,1994100
5,"Jan 24, 2018",239.0,251.23,239.0,250.44,2336600
6,"Jan 23, 2018",238.1,243.5,235.11,239.27,1471900
7,"Jan 22, 2018",239.99,244.74,235.15,237.25,1003500
8,"Jan 19, 2018",242.0,242.49,232.0,238.28,1485900
9,"Jan 18, 2018",253.0,256.5,238.5,241.51,1937100
10,"Jan 17, 2018",247.0,251.0,243.5,249.4,671600
11,"Jan 16, 2018",239.5,248.85,239.5,245.41,560700
12,"Jan 15, 2018",248.55,250.0,239.01,241.99,623400
13,"Jan 12, 2018",261.1,261.5,249.75,250.8,726500
14,"Jan 11, 2018",267.45,267.45,260.1,262.89,1227600
15,"Jan 10, 2018",256.89,267.44,255.0,267.31,1737000
16,"Jan 9, 2018",256.48,256.5,250.51,254.71,1020900
17,"Jan 8, 2018",249.5,256.98,249.5,254.13,1131500
18,"Jan 5, 2018",242.55,250.9,241.5,248.77,1230600
19,"Jan 4, 2018",246.55,247.78,242.22,243.11,630100
20,"Jan 3, 2018",243.0,249.85,241.0,245.46,1857100
21,"Jan 2, 2018",239.01,247.47,234.05,242.36,1841200
22,"Jan 1, 2018",233.0,241.3,229.35,239.81,937500
23,"Feb 28, 2018",247.0,252.0,245.5,247.53,542900
24,"Feb 27, 2018",248.0,249.5,242.0,246.68,436500
25,"Feb 26, 2018",257.25,258.0,247.0,248.09,514400
26,"Feb 23, 2018",262.0,263.0,253.0,255.22,711400
27,"Feb 22, 2018",257.0,262.99,255.1,261.82,426000
28,"Feb 21, 2018",265.0,266.0,260.0,260.46,331200
29,"Feb 20, 2018",262.0,263.98,257.3,260.39,589300
30,"Feb 19, 2018",260.1,263.4,257.01,261.8,671800
31,"Feb 16, 2018",251.0,257.0,249.99,256.07,392600
32,"Feb 15, 2018",259.39,259.39,250.55,251.5,439400
33,"Feb 14, 2018",263.0,265.75,255.5,257.39,857100
