,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",69.0,69.9,67.02,67.94,175000
1,"Jan 30, 2018",68.45,69.4,67.0,67.19,403000
2,"Jan 29, 2018",65.0,67.63,65.0,67.63,2576500
3,"Jan 26, 2018",64.05,64.49,63.8,64.41,21000
4,"Jan 25, 2018",63.51,65.0,63.51,64.75,89000
5,"Jan 24, 2018",65.0,65.15,64.9,65.0,322000
6,"Jan 23, 2018",63.99,64.8,63.99,64.73,295000
7,"Jan 22, 2018",64.0,64.85,64.0,64.7,190500
8,"Jan 19, 2018",64.0,64.99,63.75,64.55,313500
9,"Jan 18, 2018",64.99,65.5,64.1,64.13,291000
10,"Jan 17, 2018",64.79,65.0,63.45,64.46,351500
11,"Jan 16, 2018",63.5,63.5,63.0,63.07,188000
12,"Jan 15, 2018",62.02,63.5,62.02,63.41,44500
13,"Jan 12, 2018",63.0,63.05,62.99,63.03,76500
14,"Jan 11, 2018",63.15,64.5,62.97,63.08,87500
15,"Jan 10, 2018",64.7,65.7,64.25,65.34,1036500
16,"Jan 9, 2018",63.9,64.5,63.5,64.49,910000
17,"Jan 8, 2018",64.65,64.8,62.75,63.19,570500
18,"Jan 5, 2018",61.5,63.5,61.0,62.87,517500
19,"Jan 4, 2018",61.36,62.45,61.08,61.22,135500
20,"Jan 3, 2018",61.5,61.51,60.76,61.5,1139500
21,"Jan 2, 2018",60.0,62.0,60.0,61.76,2412500
22,"Jan 1, 2018",58.25,60.25,58.0,60.21,386000
23,"Feb 28, 2018",68.5,68.5,68.0,68.0,320000
24,"Feb 27, 2018",68.0,68.5,67.16,68.5,116500
25,"Feb 26, 2018",69.5,69.5,68.0,68.0,29500
26,"Feb 23, 2018",69.01,70.7,68.5,69.01,510500
27,"Feb 22, 2018",68.5,69.51,68.5,69.5,222000
28,"Feb 21, 2018",69.49,69.5,68.61,69.3,109000
29,"Feb 20, 2018",69.11,69.9,68.81,69.49,247000
30,"Feb 19, 2018",68.55,70.99,68.55,70.75,630000
31,"Feb 16, 2018",69.25,70.5,69.25,69.86,694000
32,"Feb 15, 2018",67.0,69.5,67.0,69.28,813000
33,"Feb 14, 2018",68.0,69.5,66.51,67.15,582500
34,"Feb 13, 2018",67.74,69.2,67.5,68.0,502500
35,"Feb 12, 2018",67.1,67.99,67.1,67.74,374500
36,"Feb 9, 2018",66.65,67.5,66.65,67.11,132000
37,"Feb 8, 2018",67.0,67.25,66.3,67.07,33500
38,"Feb 7, 2018",67.0,67.09,67.0,67.0,35500
39,"Feb 6, 2018",66.5,67.1,66.5,67.0,500000
40,"Feb 2, 2018",67.7,67.89,66.06,66.84,15500
41,"Feb 1, 2018",66.59,67.45,66.59,67.19,6500
42,"Mar 30, 2018",77.95,77.95,77.0,77.5,835000
43,"Mar 29, 2018",76.5,77.5,75.85,77.0,301500
44,"Mar 28, 2018",76.0,77.45,76.0,76.5,193000
45,"Mar 27, 2018",77.98,78.0,76.0,76.0,25000
46,"Mar 26, 2018",77.0,78.0,76.0,77.71,53500
47,"Mar 22, 2018",75.88,78.25,75.5,77.78,550000
48,"Mar 21, 2018",74.4,76.2,73.5,75.5,1881500
49,"Mar 20, 2018",69.5,72.58,69.01,72.58,672000
50,"Mar 19, 2018",67.01,70.98,67.01,69.13,1343500
51,"Mar 16, 2018",67.0,67.6,66.55,67.6,480500
52,"Mar 15, 2018",66.7,67.39,66.26,67.39,170000
53,"Mar 14, 2018",66.51,67.0,66.5,67.0,240000
54,"Mar 13, 2018",68.7,68.7,66.0,67.01,837000
55,"Mar 12, 2018",67.25,67.25,66.2,66.93,185500
56,"Mar 9, 2018",69.0,69.9,68.0,69.0,116000
57,"Mar 8, 2018",67.51,68.96,67.5,68.73,305000
58,"Mar 7, 2018",68.2,68.6,68.0,68.0,73000
59,"Mar 6, 2018",68.5,69.0,68.05,68.3,27000
60,"Mar 5, 2018",68.01,69.5,68.0,69.5,52500
61,"Mar 2, 2018",68.01,68.5,67.69,68.48,115500
62,"Mar 1, 2018",67.73,68.5,67.5,68.5,167000
63,"Apr 30, 2018",75.52,75.63,73.75,73.91,572500
64,"Apr 27, 2018",76.0,76.0,75.6,75.62,75000
65,"Apr 26, 2018",76.05,76.8,75.52,76.0,1066500
