,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",135.0,139.0,134.5,137.19,288000
1,"Jan 30, 2018",136.25,137.99,134.6,134.85,164500
2,"Jan 29, 2018",136.0,137.5,135.0,135.26,137000
3,"Jan 26, 2018",136.55,140.0,135.0,139.28,110000
4,"Jan 25, 2018",140.0,141.0,136.55,139.17,140000
5,"Jan 24, 2018",139.0,142.42,138.99,140.72,1316500
6,"Jan 23, 2018",136.0,140.41,135.1,135.64,1614500
7,"Jan 22, 2018",129.9,133.73,126.95,133.73,695500
8,"Jan 19, 2018",124.9,128.5,124.0,127.37,1106500
9,"Jan 18, 2018",118.8,122.92,118.8,122.53,1971000
10,"Jan 17, 2018",116.97,117.5,115.01,117.07,117500
11,"Jan 16, 2018",116.0,119.4,115.27,115.67,277000
12,"Jan 15, 2018",115.75,116.75,113.5,114.67,262000
13,"Jan 12, 2018",117.5,117.5,113.1,114.38,325000
14,"Jan 11, 2018",117.0,119.0,115.21,116.67,806000
15,"Jan 10, 2018",114.99,118.0,113.5,117.12,723500
16,"Jan 9, 2018",111.6,115.0,111.0,114.39,728000
17,"Jan 8, 2018",112.0,113.98,110.0,112.82,257500
18,"Jan 5, 2018",110.56,113.0,109.9,111.11,206500
19,"Jan 4, 2018",112.65,113.95,108.99,109.4,331000
20,"Jan 3, 2018",113.27,115.95,111.07,111.65,275500
21,"Jan 2, 2018",108.5,113.61,108.0,113.27,1114000
22,"Jan 1, 2018",110.8,110.91,106.0,108.2,239500
23,"Feb 28, 2018",126.0,126.98,125.3,126.23,402500
24,"Feb 27, 2018",125.99,126.0,124.0,124.5,21500
25,"Feb 26, 2018",124.85,124.85,123.56,124.02,10500
26,"Feb 23, 2018",127.0,127.0,120.0,123.11,104500
27,"Feb 22, 2018",122.1,127.0,122.1,125.98,73500
28,"Feb 21, 2018",127.0,129.0,125.05,126.02,150500
29,"Feb 20, 2018",126.01,126.99,125.01,126.68,33000
30,"Feb 19, 2018",126.99,129.75,126.99,127.93,92000
31,"Feb 16, 2018",126.0,130.5,124.51,127.56,24500
32,"Feb 15, 2018",124.5,125.4,123.0,124.32,950000
33,"Feb 14, 2018",125.51,126.5,123.15,124.47,138500
34,"Feb 13, 2018",126.5,128.5,126.0,127.03,196500
35,"Feb 12, 2018",124.02,126.5,124.02,126.15,113500
36,"Feb 9, 2018",125.01,126.0,123.9,125.08,567500
37,"Feb 8, 2018",139.0,139.0,129.28,129.28,1827500
38,"Feb 7, 2018",137.0,138.9,135.32,136.08,282000
39,"Feb 6, 2018",135.1,137.45,135.1,136.24,105500
40,"Feb 2, 2018",137.6,141.5,136.75,137.19,265000
41,"Feb 1, 2018",138.01,139.5,137.0,137.6,403000
42,"Mar 30, 2018",133.48,133.48,127.0,128.3,125000
43,"Mar 29, 2018",133.25,134.74,131.0,131.92,186500
44,"Mar 28, 2018",131.0,134.74,130.51,133.75,257000
45,"Mar 27, 2018",132.0,133.5,130.0,130.92,76000
46,"Mar 26, 2018",131.88,133.5,130.25,131.14,100000
47,"Mar 22, 2018",130.5,134.7,129.0,133.89,258500
48,"Mar 21, 2018",128.5,133.0,128.5,129.6,103000
49,"Mar 20, 2018",127.5,131.5,127.0,129.4,76500
50,"Mar 19, 2018",126.65,128.75,120.8,125.94,345500
51,"Mar 16, 2018",128.99,128.99,127.0,127.09,223000
52,"Mar 15, 2018",129.15,130.99,127.98,128.0,59000
53,"Mar 14, 2018",133.9,133.95,130.0,130.21,30000
54,"Mar 13, 2018",132.0,133.9,130.0,132.26,152000
55,"Mar 12, 2018",132.0,133.5,128.0,132.66,208500
56,"Mar 9, 2018",131.01,131.5,128.9,130.0,82000
57,"Mar 8, 2018",134.0,134.0,130.5,131.41,197500
58,"Mar 7, 2018",137.0,137.44,134.0,134.15,95500
59,"Mar 6, 2018",139.94,142.9,137.0,137.9,234500
60,"Mar 5, 2018",139.1,140.5,137.11,138.1,68500
61,"Mar 2, 2018",138.5,139.16,134.2,138.89,649500
62,"Mar 1, 2018",127.0,132.54,127.0,132.54,843500
63,"Apr 30, 2018",125.0,125.0,120.31,123.41,274500
64,"Apr 27, 2018",126.0,126.5,125.0,125.2,115000
65,"Apr 26, 2018",127.0,127.8,125.99,126.92,944500
66,"Apr 25, 2018",128.0,129.0,126.1,127.0,172500
67,"Apr 24, 2018",128.99,129.0,128.0,128.0,110500
68,"Apr 23, 2018",127.8,129.0,127.11,127.86,156000
69,"Apr 20, 2018",127.0,128.0,126.9,127.77,408000
70,"Apr 19, 2018",127.5,128.0,125.03,126.8,31500
71,"Apr 18, 2018",132.85,132.85,127.8,127.99,324500
72,"Apr 17, 2018",129.71,130.48,126.0,126.85,182000
73,"Apr 16, 2018",128.25,129.0,127.6,127.91,30000
74,"Apr 13, 2018",130.25,130.45,128.0,128.93,125000
75,"Apr 12, 2018",130.95,130.95,126.01,128.78,104500
76,"Apr 11, 2018",132.0,132.0,130.65,130.65,73500
77,"Apr 10, 2018",133.2,133.2,131.5,131.96,40500
78,"Apr 9, 2018",135.0,135.25,133.01,133.01,31000
79,"Apr 6, 2018",135.0,137.3,133.6,134.82,441500
80,"Apr 5, 2018",134.08,136.5,131.99,132.5,186500
81,"Apr 4, 2018",133.6,136.5,133.0,133.34,405500
82,"Apr 3, 2018",135.61,136.5,133.01,134.89,645500
83,"Apr 2, 2018",131.0,134.71,131.0,134.71,509000
84,"May 31, 2018",114.0,114.02,113.01,113.1,7000
85,"May 30, 2018",114.9,115.5,113.5,114.0,11500
86,"May 29, 2018",113.01,115.38,113.01,114.4,4500
87,"May 28, 2018",112.5,117.8,112.0,112.02,11500
88,"May 25, 2018",116.5,116.5,112.11,112.81,15000
89,"May 24, 2018",118.3,118.3,116.0,116.23,93500
90,"May 23, 2018",119.0,120.5,118.0,119.0,118500
91,"May 22, 2018",113.0,117.61,113.0,117.46,241000
92,"May 21, 2018",113.0,113.5,111.5,112.01,22000
93,"May 18, 2018",115.09,115.09,112.1,113.43,4500
94,"May 17, 2018",116.9,116.9,115.0,115.09,10500
95,"May 16, 2018",118.0,120.0,118.0,118.0,42000
96,"May 15, 2018",113.7,119.38,111.0,118.0,467500
97,"May 14, 2018",117.0,117.0,113.0,113.7,235500
98,"May 11, 2018",121.89,124.69,116.05,117.48,177500
99,"May 10, 2018",114.01,121.0,114.01,118.76,51000
100,"May 9, 2018",123.0,123.0,116.71,117.04,670000
101,"May 8, 2018",125.0,125.0,121.79,122.85,249000
102,"May 7, 2018",121.25,125.4,121.25,124.82,30500
103,"May 4, 2018",125.0,125.0,123.0,124.37,260500
104,"May 3, 2018",124.6,127.0,123.15,124.88,410000
105,"May 2, 2018",121.1,125.5,121.1,124.92,40500
106,"Jun 29, 2018",100.5,100.75,96.5,97.23,86500
107,"Jun 28, 2018",98.5,101.4,98.0,99.85,209000
108,"Jun 27, 2018",99.99,101.66,95.1,97.95,360000
109,"Jun 26, 2018",100.9,101.0,96.0,99.0,204500
110,"Jun 25, 2018",103.0,104.95,99.75,100.91,296000
111,"Jun 22, 2018",103.01,105.0,103.01,105.0,12000
112,"Jun 21, 2018",107.5,107.5,103.0,105.0,72000
113,"Jun 20, 2018",109.01,109.01,107.36,107.79,8000
114,"Jun 19, 2018",108.1,111.0,108.0,110.0,159000
115,"Jun 14, 2018",110.0,110.0,106.0,107.78,21500
116,"Jun 13, 2018",108.0,110.0,105.99,107.21,31000
117,"Jun 12, 2018",110.01,110.7,108.0,108.07,23500
118,"Jun 11, 2018",116.0,116.0,111.5,111.51,19000
119,"Jun 7, 2018",114.0,115.1,113.0,114.14,241000
120,"Jun 6, 2018",114.9,115.0,113.0,114.22,70000
121,"Jun 5, 2018",115.0,117.01,113.15,114.69,237000
122,"Jun 4, 2018",113.5,114.25,113.5,114.25,1000
123,"Jun 1, 2018",114.25,114.25,112.5,113.2,5000
124,"Jul 31, 2018",98.35,98.35,92.76,92.76,992400
125,"Jul 30, 2018",95.45,98.89,95.45,97.64,1327100
126,"Jul 27, 2018",92.74,95.8,90.0,94.78,675200
127,"Jul 26, 2018",90.5,92.55,88.01,92.26,140200
128,"Jul 24, 2018",84.2,88.89,84.2,88.15,110000
129,"Jul 23, 2018",85.01,86.75,84.16,84.66,65400
130,"Jul 20, 2018",89.1,90.0,87.0,87.59,144900
131,"Jul 19, 2018",89.47,90.9,86.6,90.45,965000
132,"Jul 18, 2018",84.2,86.58,84.2,86.58,623900
133,"Jul 17, 2018",79.5,84.82,78.5,82.46,894000
134,"Jul 16, 2018",85.0,85.35,80.54,80.79,530900
135,"Jul 13, 2018",85.0,86.0,84.5,84.77,224400
136,"Jul 12, 2018",84.0,85.3,82.75,85.0,26000
137,"Jul 11, 2018",85.01,85.99,82.51,84.02,288200
138,"Jul 10, 2018",83.5,85.0,81.55,84.6,179000
139,"Jul 9, 2018",85.01,85.01,81.53,83.68,53500
140,"Jul 6, 2018",86.75,87.25,85.0,85.82,226900
141,"Jul 5, 2018",85.1,88.36,84.0,85.89,274500
142,"Jul 4, 2018",89.5,90.0,86.29,86.29,848300
143,"Jul 3, 2018",90.75,94.0,89.0,90.83,1884200
144,"Jul 2, 2018",98.0,98.5,92.37,92.58,583400
145,"Aug 31, 2018",86.01,87.24,84.5,85.07,269300
146,"Aug 30, 2018",88.65,89.07,84.8,86.53,148100
147,"Aug 29, 2018",94.5,94.5,88.79,88.79,670000
148,"Aug 28, 2018",93.5,95.0,93.25,93.46,78300
149,"Aug 27, 2018",93.1,95.9,93.1,94.14,215800
150,"Aug 24, 2018",94.98,93.8,92.13,93.55,58000
151,"Aug 20, 2018",94.8,95.5,92.25,92.61,142800
152,"Aug 17, 2018",93.0,95.25,92.5,92.9,188100
153,"Aug 16, 2018",92.5,93.15,89.0,91.5,101300
154,"Aug 15, 2018",93.5,94.5,92.1,92.28,88100
155,"Aug 13, 2018",94.3,96.7,93.5,93.8,217000
156,"Aug 10, 2018",95.0,96.9,94.25,95.02,243900
157,"Aug 9, 2018",93.0,95.0,92.5,94.87,109500
158,"Aug 8, 2018",95.25,96.49,92.65,93.08,299100
159,"Aug 7, 2018",93.95,96.9,92.98,95.73,487500
160,"Aug 6, 2018",91.9,93.0,91.0,92.62,82500
161,"Aug 3, 2018",92.0,92.0,89.71,90.25,45700
162,"Aug 2, 2018",92.89,93.72,90.8,91.32,163500
163,"Aug 1, 2018",92.02,93.3,90.0,92.33,516100
164,"Sep 28, 2018",78.5,81.26,78.1,80.55,362000
165,"Sep 27, 2018",78.25,79.0,77.1,78.35,216500
166,"Sep 26, 2018",79.0,79.98,78.25,78.54,1300300
167,"Sep 25, 2018",80.26,81.0,78.4,78.72,1336800
168,"Sep 24, 2018",82.01,82.79,80.05,80.15,48800
169,"Sep 19, 2018",83.5,83.5,82.0,82.59,47600
170,"Sep 18, 2018",80.0,84.0,80.0,82.94,153700
171,"Sep 17, 2018",82.49,82.49,80.0,80.81,51000
172,"Sep 14, 2018",81.95,84.9,81.75,82.94,486300
173,"Sep 13, 2018",78.11,82.0,78.11,80.86,113000
174,"Sep 12, 2018",79.6,80.49,79.0,80.0,107600
175,"Sep 11, 2018",80.0,80.6,79.0,80.46,74800
176,"Sep 10, 2018",77.8,80.89,76.0,79.57,172600
177,"Sep 7, 2018",80.15,81.3,76.79,77.31,256900
178,"Sep 6, 2018",83.0,83.0,80.0,80.83,65100
179,"Sep 5, 2018",86.25,86.25,83.51,83.79,36200
180,"Sep 4, 2018",84.49,86.85,84.49,86.01,63900
181,"Sep 3, 2018",84.01,85.0,83.5,84.17,44200
182,"Oct 31, 2018",75.4,76.45,72.75,76.29,1857400
183,"Oct 30, 2018",72.81,72.81,71.8,72.81,375000
184,"Oct 29, 2018",68.5,69.35,68.5,69.35,192100
185,"Oct 26, 2018",63.99,66.05,62.75,66.05,951700
186,"Oct 25, 2018",62.97,62.97,61.0,62.91,745200
187,"Oct 24, 2018",59.96,59.98,58.85,59.98,132200
188,"Oct 23, 2018",59.3,59.3,56.3,57.13,116800
189,"Oct 22, 2018",60.99,62.2,58.03,59.16,806800
190,"Oct 19, 2018",59.0,60.5,57.0,60.24,489400
191,"Oct 18, 2018",59.06,61.0,57.15,58.14,672200
192,"Oct 17, 2018",56.0,59.03,56.0,59.03,240400
193,"Oct 16, 2018",56.5,58.0,56.0,56.22,205600
194,"Oct 15, 2018",58.5,58.5,56.07,56.62,93100
195,"Oct 12, 2018",62.4,62.4,58.54,59.01,369100
196,"Oct 11, 2018",61.13,63.95,61.0,61.62,85200
197,"Oct 10, 2018",63.69,64.9,60.51,62.81,769900
198,"Oct 9, 2018",69.0,70.0,63.69,63.69,228300
199,"Oct 8, 2018",69.98,71.48,67.04,67.04,875000
200,"Oct 5, 2018",77.5,77.5,74.27,74.56,632900
201,"Oct 4, 2018",78.01,79.5,78.0,78.17,14400
202,"Oct 3, 2018",80.8,81.49,79.5,79.99,11700
203,"Oct 2, 2018",80.99,81.5,80.11,80.35,88400
204,"Oct 1, 2018",79.5,80.7,79.05,80.44,12700
205,"Nov 30, 2018",82.88,82.88,78.62,78.62,678300
206,"Nov 29, 2018",84.02,84.39,82.05,82.75,344900
207,"Nov 28, 2018",86.0,86.25,82.47,83.43,231900
208,"Nov 27, 2018",88.21,90.0,85.52,85.93,1190400
209,"Nov 26, 2018",92.49,93.0,89.2,90.02,590500
210,"Nov 23, 2018",88.05,92.0,88.05,91.22,1203700
211,"Nov 22, 2018",87.05,90.35,87.0,89.3,2033000
212,"Nov 20, 2018",86.99,88.5,86.9,87.03,993100
213,"Nov 19, 2018",83.66,87.5,82.5,86.81,2022700
