,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",122.00,122.75,121.50,122.08,4700.0
1,"Jan 30, 2018",124.00,124.00,120.00,121.42,9500.0
2,"Jan 29, 2018",123.00,123.90,122.00,123.18,6300.0
3,"Jan 26, 2018",124.15,124.15,122.00,123.00,3100.0
4,"Jan 25, 2018",126.00,126.00,124.00,124.64,5600.0
5,"Jan 24, 2018",131.79,131.80,125.00,126.17,188900.0
6,"Jan 23, 2018",127.00,131.90,127.00,130.02,244700.0
7,"Jan 22, 2018",120.90,126.02,120.90,126.02,91000.0
8,"Jan 19, 2018",118.00,120.44,118.00,120.02,84400.0
9,"Jan 18, 2018",119.50,121.00,116.00,117.70,56200.0
10,"Jan 17, 2018",119.00,119.50,117.56,118.93,31500.0
11,"Jan 16, 2018",119.10,121.50,116.01,118.28,56800.0
12,"Jan 15, 2018",117.01,120.00,117.01,118.87,29800.0
13,"Jan 12, 2018",118.00,118.25,117.50,117.99,11000.0
14,"Jan 11, 2018",120.00,121.00,116.11,119.10,31100.0
15,"Jan 10, 2018",118.49,120.00,118.49,120.00,18500.0
16,"Jan 9, 2018",115.11,118.79,115.11,118.00,4500.0
17,"Jan 8, 2018",118.00,120.00,118.00,119.17,20700.0
18,"Jan 5, 2018",115.75,119.99,115.75,118.91,10400.0
19,"Jan 4, 2018",113.26,115.00,113.25,114.75,49000.0
20,"Jan 3, 2018",115.00,116.00,113.60,114.07,85700.0
21,"Jan 2, 2018",112.00,116.00,111.25,114.96,11400.0
22,"Jan 1, 2018",110.99,113.20,110.99,112.05,5700.0
23,"Feb 28, 2018",121.00,121.00,120.00,121.00,15500.0
24,"Feb 27, 2018",122.50,122.50,121.00,121.11,24000.0
25,"Feb 26, 2018",123.00,124.00,120.55,123.43,8400.0
26,"Feb 23, 2018",129.90,129.90,121.00,122.00,45500.0
27,"Feb 22, 2018",124.01,127.99,121.00,126.99,15400.0
28,"Feb 21, 2018",124.00,126.00,122.05,124.47,6400.0
29,"Feb 20, 2018",125.01,126.99,123.50,123.91,16300.0
30,"Feb 19, 2018",128.24,129.50,126.10,126.70,4000.0
