,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",159.3,161.25,157.21,159.74,1750300
1,"Jan 30, 2018",163.4,164.5,158.2,159.2,2304500
2,"Jan 29, 2018",165.0,165.55,161.5,162.64,2089700
3,"Jan 26, 2018",166.13,167.0,162.4,166.33,1671900
4,"Jan 25, 2018",167.7,167.7,163.25,166.14,1608700
5,"Jan 24, 2018",161.5,167.28,161.5,167.13,7004100
6,"Jan 23, 2018",158.61,162.5,156.5,159.32,6654800
7,"Jan 22, 2018",151.0,157.24,150.0,157.24,4365200
8,"Jan 19, 2018",145.4,150.85,145.4,149.76,5823200
9,"Jan 18, 2018",144.49,146.8,142.01,144.62,3987300
10,"Jan 17, 2018",140.0,142.62,138.51,142.07,1279400
11,"Jan 16, 2018",138.5,143.45,138.5,139.94,2845200
12,"Jan 15, 2018",137.0,139.75,134.8,137.48,1985000
13,"Jan 12, 2018",144.05,144.05,137.13,137.23,3185400
14,"Jan 11, 2018",144.9,147.7,143.11,144.34,5387600
15,"Jan 10, 2018",141.95,145.2,140.67,144.78,4760200
16,"Jan 9, 2018",142.5,143.9,139.55,141.14,1421200
17,"Jan 8, 2018",144.0,145.49,141.75,142.85,2998400
18,"Jan 5, 2018",141.4,145.85,141.4,143.59,1280700
19,"Jan 4, 2018",142.51,143.5,140.51,141.87,1851200
20,"Jan 3, 2018",141.1,144.35,140.01,143.19,3875100
21,"Jan 2, 2018",136.15,142.8,134.6,141.72,4506300
22,"Jan 1, 2018",133.72,137.99,131.05,136.34,1236500
23,"Feb 28, 2018",141.5,144.25,140.15,143.71,2057200
24,"Feb 27, 2018",137.0,142.7,134.86,141.71,2328500
25,"Feb 26, 2018",140.35,140.35,135.1,136.85,1362100
26,"Feb 23, 2018",143.5,144.0,137.25,138.84,1992700
27,"Feb 22, 2018",137.0,143.88,137.0,143.2,1332900
28,"Feb 21, 2018",143.5,143.8,140.75,141.12,2406200
29,"Feb 20, 2018",140.0,142.0,135.0,140.25,4341600
30,"Feb 19, 2018",141.01,144.0,139.71,140.07,1809300
31,"Feb 16, 2018",140.5,142.0,139.62,141.43,784300
32,"Feb 15, 2018",141.5,143.98,138.45,139.27,1564400
33,"Feb 14, 2018",148.0,148.44,141.0,141.57,1449500
34,"Feb 13, 2018",152.99,152.99,146.06,147.76,2697800
35,"Feb 12, 2018",153.04,153.5,149.3,150.8,2169100
36,"Feb 9, 2018",150.89,152.74,147.25,151.46,4362600
37,"Feb 8, 2018",159.1,159.5,150.62,151.25,4134200
38,"Feb 7, 2018",159.5,161.85,158.0,158.54,1435300
39,"Feb 6, 2018",158.0,160.0,157.01,158.11,1950100
40,"Feb 2, 2018",165.0,165.39,161.76,162.02,1146500
41,"Feb 1, 2018",159.97,165.49,159.71,164.67,3313800
42,"Mar 30, 2018",164.22,164.7,160.69,163.11,1047300
43,"Mar 29, 2018",161.0,164.75,161.0,163.84,3654700
44,"Mar 28, 2018",158.11,162.7,157.0,160.75,3187300
45,"Mar 27, 2018",157.35,161.9,157.35,157.9,2651100
46,"Mar 26, 2018",156.25,158.8,153.26,157.35,1945400
47,"Mar 22, 2018",152.49,158.99,152.02,156.26,4876100
48,"Mar 21, 2018",153.5,154.1,151.0,151.6,981600
49,"Mar 20, 2018",152.0,154.89,151.6,153.11,2405400
50,"Mar 19, 2018",150.81,151.89,149.1,151.33,1113200
51,"Mar 16, 2018",152.4,153.25,150.0,150.59,773400
52,"Mar 15, 2018",153.0,153.19,151.05,152.65,407700
53,"Mar 14, 2018",153.49,153.49,151.7,152.49,633800
54,"Mar 13, 2018",153.5,155.5,151.31,153.37,2604300
55,"Mar 12, 2018",147.22,153.5,147.22,152.97,2059000
56,"Mar 9, 2018",151.0,152.0,145.2,146.65,2256200
57,"Mar 8, 2018",153.5,154.25,148.5,150.91,3614700
58,"Mar 7, 2018",156.4,156.4,152.8,154.34,1514600
59,"Mar 6, 2018",154.89,157.99,154.3,155.78,6228300
60,"Mar 5, 2018",154.55,154.95,149.65,152.03,2695800
61,"Mar 2, 2018",150.1,153.93,149.8,153.09,6207600
62,"Mar 1, 2018",143.75,150.89,142.53,149.51,10856700
63,"Apr 30, 2018",141.5,145.65,140.01,145.23,2203200
64,"Apr 27, 2018",142.8,143.75,140.25,140.82,1804000
65,"Apr 26, 2018",142.25,143.99,141.83,142.85,1994700
66,"Apr 25, 2018",145.51,146.01,141.5,142.21,4150200
67,"Apr 24, 2018",146.49,149.69,144.0,145.45,5568400
68,"Apr 23, 2018",146.1,148.25,143.3,145.74,2680600
69,"Apr 20, 2018",150.97,152.45,145.16,146.25,1713000
