,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",68.97,70.25,68.97,69.7,2824000
1,"Jan 30, 2018",68.0,69.0,67.71,68.82,644500
2,"Jan 29, 2018",68.51,68.51,66.75,68.01,1821000
3,"Jan 26, 2018",68.56,69.12,68.0,68.77,2426500
4,"Jan 25, 2018",69.3,69.6,68.8,68.97,1817000
5,"Jan 24, 2018",69.4,69.98,69.1,69.28,2144000
6,"Jan 23, 2018",70.0,70.0,69.0,69.26,778000
7,"Jan 22, 2018",69.69,70.25,69.25,70.02,1141500
8,"Jan 19, 2018",68.99,69.65,68.41,69.51,968000
9,"Jan 18, 2018",69.25,69.75,68.2,68.85,1425500
10,"Jan 17, 2018",68.0,69.0,67.6,68.7,717500
11,"Jan 16, 2018",68.49,69.3,67.9,68.16,1002000
12,"Jan 15, 2018",68.5,69.05,67.65,68.31,1253000
13,"Jan 12, 2018",69.45,69.8,68.0,68.96,1449000
14,"Jan 11, 2018",70.7,70.75,69.2,69.47,2292000
15,"Jan 10, 2018",70.01,70.79,70.01,70.54,2362000
16,"Jan 9, 2018",71.15,71.9,69.8,70.02,1958500
17,"Jan 8, 2018",70.0,71.5,70.0,71.04,5800000
18,"Jan 5, 2018",68.5,69.9,68.25,69.33,2211500
19,"Jan 4, 2018",68.3,68.85,68.1,68.39,1122000
20,"Jan 3, 2018",67.75,68.6,67.41,68.39,4143500
21,"Jan 2, 2018",66.99,68.25,66.85,67.86,1600000
22,"Jan 1, 2018",67.01,67.51,66.52,67.17,561500
23,"Feb 28, 2018",69.0,69.79,68.77,69.18,3810500
24,"Feb 27, 2018",68.39,68.84,68.15,68.57,3839000
25,"Feb 26, 2018",68.45,68.48,67.75,68.16,2018500
26,"Feb 23, 2018",68.25,68.6,67.2,67.62,3990000
27,"Feb 22, 2018",67.25,68.35,67.02,68.06,4227500
28,"Feb 21, 2018",68.05,68.6,67.2,67.85,3708000
29,"Feb 20, 2018",68.38,68.69,66.95,67.53,2457500
30,"Feb 19, 2018",68.89,69.12,68.15,68.26,1738000
31,"Feb 16, 2018",68.2,68.93,68.11,68.73,1361500
32,"Feb 15, 2018",68.25,68.7,68.0,68.17,915500
33,"Feb 14, 2018",69.12,69.5,68.0,68.5,1427500
34,"Feb 13, 2018",69.05,69.5,69.05,69.28,1003000
35,"Feb 12, 2018",69.5,69.7,69.0,69.05,1495000
36,"Feb 9, 2018",69.7,69.95,69.25,69.58,1218000
37,"Feb 8, 2018",69.1,70.05,68.7,69.72,9507000
38,"Feb 7, 2018",68.61,69.3,68.53,68.65,6605000
39,"Feb 6, 2018",69.1,69.45,68.05,68.53,2072000
40,"Feb 2, 2018",69.22,70.18,69.06,69.62,1618000
41,"Feb 1, 2018",69.97,69.97,69.26,69.42,453000
42,"Mar 30, 2018",69.75,69.75,68.9,69.09,1003000
43,"Mar 29, 2018",69.0,69.75,68.88,69.58,3658500
44,"Mar 28, 2018",68.44,68.98,68.4,68.93,1076000
45,"Mar 27, 2018",68.01,68.45,68.0,68.3,1040500
46,"Mar 26, 2018",68.2,68.3,67.8,68.21,497500
47,"Mar 22, 2018",68.3,68.49,68.01,68.16,522500
48,"Mar 21, 2018",68.0,69.0,68.0,68.34,1896000
49,"Mar 20, 2018",68.49,68.49,67.75,67.99,1274500
50,"Mar 19, 2018",67.11,68.5,67.02,68.32,1058000
51,"Mar 16, 2018",67.69,67.75,67.02,67.36,939500
52,"Mar 15, 2018",67.45,67.85,66.9,67.71,2597500
53,"Mar 14, 2018",70.5,70.65,69.9,70.02,4158500
54,"Mar 13, 2018",70.19,70.9,70.06,70.49,2526000
55,"Mar 12, 2018",69.0,70.1,68.98,69.95,2306500
56,"Mar 9, 2018",68.69,69.2,68.34,69.04,1032500
57,"Mar 8, 2018",69.2,69.4,67.85,68.05,3003500
58,"Mar 7, 2018",69.89,69.89,68.9,69.02,2325000
59,"Mar 6, 2018",69.65,69.98,69.34,69.47,1126000
60,"Mar 5, 2018",69.16,69.7,69.16,69.46,507500
