,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",301.6,306.5,301.5,302.17,751900
1,"Jan 30, 2018",302.9,304.0,299.65,301.01,768900
2,"Jan 29, 2018",304.1,305.95,299.06,302.53,1618700
3,"Jan 26, 2018",306.97,306.97,301.31,304.92,886900
4,"Jan 25, 2018",308.0,308.0,304.01,305.79,250400
5,"Jan 24, 2018",308.4,310.59,304.5,307.2,1247700
6,"Jan 23, 2018",313.5,314.0,304.41,306.74,2158500
7,"Jan 22, 2018",306.3,313.0,304.5,311.87,2225900
8,"Jan 19, 2018",303.99,307.5,302.0,306.17,1276300
9,"Jan 18, 2018",298.48,302.7,294.99,300.22,2387600
10,"Jan 17, 2018",293.0,293.0,289.1,292.12,410300
11,"Jan 16, 2018",288.1,294.5,288.1,290.5,943600
12,"Jan 15, 2018",286.5,292.4,284.5,289.17,1228700
13,"Jan 12, 2018",291.1,293.0,284.0,287.23,989700
14,"Jan 11, 2018",298.0,298.5,291.03,292.17,1243900
15,"Jan 10, 2018",288.0,298.4,288.0,297.24,2390200
16,"Jan 9, 2018",291.65,291.65,286.15,288.48,828200
17,"Jan 8, 2018",287.9,293.05,287.51,290.15,1810900
18,"Jan 5, 2018",283.1,288.5,283.1,286.7,1146100
19,"Jan 4, 2018",281.49,287.0,280.3,284.83,1103100
20,"Jan 3, 2018",279.11,283.73,278.5,281.49,1271800
21,"Jan 2, 2018",279.0,283.75,277.5,280.39,1577200
22,"Jan 1, 2018",274.0,283.55,270.15,280.3,1429100
23,"Feb 28, 2018",295.9,302.75,293.05,300.65,1020200
24,"Feb 27, 2018",295.66,297.89,293.99,295.48,299300
25,"Feb 26, 2018",304.0,304.0,295.0,295.83,457400
26,"Feb 23, 2018",303.0,304.69,292.01,301.16,2124600
27,"Feb 22, 2018",284.77,302.28,280.0,301.36,3316700
28,"Feb 21, 2018",298.0,299.0,284.0,287.89,1355100
29,"Feb 20, 2018",297.01,298.88,293.14,295.96,499100
30,"Feb 19, 2018",300.97,301.0,296.5,297.6,200600
31,"Feb 16, 2018",295.0,298.98,295.0,298.35,176500
32,"Feb 15, 2018",298.24,298.25,294.5,295.08,607300
33,"Feb 14, 2018",299.11,300.75,295.4,297.82,629200
34,"Feb 13, 2018",298.89,302.7,298.0,300.66,453400
35,"Feb 12, 2018",298.01,299.95,296.0,297.44,398100
36,"Feb 9, 2018",300.25,300.5,296.4,298.23,484800
37,"Feb 8, 2018",298.01,301.99,297.0,300.17,611200
38,"Feb 7, 2018",300.0,302.95,297.1,297.92,770500
39,"Feb 6, 2018",298.0,300.0,293.11,298.53,554000
40,"Feb 2, 2018",303.05,305.99,300.5,300.92,547000
41,"Feb 1, 2018",303.9,303.99,301.0,302.09,498700
42,"Mar 30, 2018",310.0,311.74,308.1,309.65,392800
