,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",88.85,92.07,88.5,90.42,3003000
1,"Jan 30, 2018",85.95,89.48,85.95,87.69,1820000
2,"Jan 29, 2018",87.97,87.97,85.5,85.66,981000
3,"Jan 26, 2018",88.25,88.62,86.91,87.73,892500
4,"Jan 25, 2018",89.25,89.48,87.6,87.96,523000
5,"Jan 24, 2018",91.25,91.75,88.8,89.07,1698000
6,"Jan 23, 2018",92.0,92.2,90.6,91.25,1398500
7,"Jan 22, 2018",90.95,92.0,89.8,91.88,1389000
8,"Jan 19, 2018",90.5,91.5,89.75,90.71,1043000
9,"Jan 18, 2018",90.2,91.2,89.36,90.3,1337000
10,"Jan 17, 2018",89.0,90.0,87.75,89.83,890000
11,"Jan 16, 2018",87.55,90.4,87.5,89.06,967500
12,"Jan 15, 2018",90.25,90.25,87.0,87.51,1548000
13,"Jan 12, 2018",90.0,91.0,89.0,90.52,931500
14,"Jan 11, 2018",91.9,91.9,89.85,90.26,1145500
15,"Jan 10, 2018",90.04,92.2,89.75,91.95,2537000
16,"Jan 9, 2018",90.01,93.24,89.0,90.22,6602500
17,"Jan 8, 2018",84.55,88.8,84.5,88.8,3963500
18,"Jan 5, 2018",81.5,85.1,81.1,84.58,1815500
19,"Jan 4, 2018",80.6,82.19,80.6,81.61,3450000
20,"Jan 3, 2018",80.61,80.9,80.0,80.46,2501500
21,"Jan 2, 2018",79.25,81.25,78.8,80.63,2578000
22,"Jan 1, 2018",79.2,79.4,78.4,79.05,476000
23,"Feb 28, 2018",87.49,89.0,87.35,88.67,475500
24,"Feb 27, 2018",86.51,87.52,86.5,87.38,259000
25,"Feb 26, 2018",86.66,87.15,86.1,86.87,243000
26,"Feb 23, 2018",87.0,87.99,86.5,86.91,374000
27,"Feb 22, 2018",86.01,87.25,85.01,87.05,335000
28,"Feb 21, 2018",86.5,87.05,85.25,85.9,471000
29,"Feb 20, 2018",86.5,86.96,85.0,85.78,908500
30,"Feb 19, 2018",86.77,87.0,86.2,86.46,318500
31,"Feb 16, 2018",86.3,87.25,86.15,86.77,316000
32,"Feb 15, 2018",88.0,88.0,86.3,86.42,364000
