,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",605.0,635.84,605.0,635.84,165700
1,"Jan 30, 2018",619.9,629.0,601.0,605.57,143200
2,"Jan 29, 2018",580.0,607.8,580.0,607.8,86700
3,"Jan 26, 2018",584.01,585.0,577.0,578.86,12300
4,"Jan 25, 2018",586.98,588.0,577.31,584.24,18850
5,"Jan 24, 2018",596.15,605.0,581.0,584.74,56350
6,"Jan 23, 2018",585.0,597.0,582.14,590.04,57700
7,"Jan 22, 2018",582.0,590.0,579.0,584.36,49050
8,"Jan 19, 2018",577.0,588.5,566.7,577.28,59450
9,"Jan 18, 2018",572.9,578.75,562.8,567.92,19050
10,"Jan 17, 2018",559.63,570.1,558.0,563.86,18400
11,"Jan 16, 2018",545.0,566.0,544.0,559.63,26550
12,"Jan 15, 2018",542.0,570.95,542.0,549.47,31200
13,"Jan 12, 2018",577.5,577.5,558.0,564.22,29100
14,"Jan 11, 2018",597.1,599.98,577.0,579.1,69350
15,"Jan 10, 2018",578.0,604.27,576.25,595.48,154350
16,"Jan 9, 2018",578.0,581.0,568.13,575.5,59750
17,"Jan 8, 2018",568.1,588.0,568.0,575.55,47300
18,"Jan 5, 2018",557.0,572.0,557.0,567.66,45150
19,"Jan 4, 2018",559.0,561.47,554.0,555.97,15550
20,"Jan 3, 2018",552.0,561.5,552.0,555.28,24250
21,"Jan 2, 2018",550.0,562.0,542.1,552.67,56650
22,"Jan 1, 2018",554.0,558.0,545.6,548.69,24100
23,"Feb 28, 2018",799.99,808.0,785.0,788.79,24650
24,"Feb 27, 2018",828.0,841.01,785.0,801.78,136500
25,"Feb 26, 2018",785.0,811.86,771.1,811.86,174900
26,"Feb 23, 2018",744.9,773.2,744.9,773.2,223900
27,"Feb 22, 2018",690.0,736.39,689.0,736.39,126850
28,"Feb 21, 2018",701.0,705.0,691.15,701.33,32900
29,"Feb 20, 2018",698.5,698.5,680.0,689.92,27750
30,"Feb 19, 2018",690.0,710.0,690.0,695.07,34350
31,"Feb 16, 2018",689.99,695.0,687.0,692.84,23200
32,"Feb 15, 2018",698.0,700.0,684.0,685.63,32300
33,"Feb 14, 2018",705.0,721.0,688.0,690.4,96950
34,"Feb 13, 2018",704.0,715.73,690.0,701.46,123100
35,"Feb 12, 2018",702.88,704.0,680.0,681.65,24350
36,"Feb 9, 2018",720.0,739.85,692.51,702.88,169650
37,"Feb 8, 2018",728.71,728.71,728.71,728.71,63800
38,"Feb 7, 2018",690.01,698.0,685.24,694.01,125950
39,"Feb 6, 2018",685.0,697.0,661.05,682.66,150600
40,"Feb 2, 2018",700.0,701.01,682.31,692.94,205150
