,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",194.89,197.45,191.5,194.02,2641700
1,"Jan 30, 2018",204.2,205.48,194.2,195.55,3056400
2,"Jan 29, 2018",206.0,209.0,201.0,203.53,1239200
3,"Jan 26, 2018",208.1,208.1,200.1,201.9,1368400
4,"Jan 25, 2018",210.1,211.0,208.0,208.68,569600
5,"Jan 24, 2018",205.0,213.2,205.0,210.75,1984200
6,"Jan 23, 2018",208.5,208.89,198.99,206.27,3605300
7,"Jan 22, 2018",206.85,210.4,204.0,208.88,1780700
8,"Jan 19, 2018",204.5,209.0,200.56,207.09,1001500
9,"Jan 18, 2018",202.01,205.0,199.99,203.51,2690700
10,"Jan 17, 2018",195.0,203.0,195.0,200.74,1430700
11,"Jan 16, 2018",190.0,198.39,190.0,197.9,617000
12,"Jan 15, 2018",193.35,194.3,189.0,190.47,1246600
13,"Jan 12, 2018",192.0,195.25,190.75,194.82,1679900
14,"Jan 11, 2018",192.0,198.0,190.15,193.41,2117400
15,"Jan 10, 2018",186.9,193.45,186.9,192.09,1833400
16,"Jan 9, 2018",192.15,192.5,184.01,187.48,1685500
17,"Jan 8, 2018",186.82,193.1,185.0,192.08,2389200
18,"Jan 5, 2018",181.5,187.5,181.0,185.87,2919700
19,"Jan 4, 2018",177.9,182.8,177.0,181.79,1743700
20,"Jan 3, 2018",178.6,182.0,176.55,178.06,1208500
21,"Jan 2, 2018",173.95,180.0,173.5,179.67,2615800
22,"Jan 1, 2018",168.99,174.45,166.0,173.97,887100
23,"Feb 28, 2018",208.9,215.0,206.03,208.35,1410000
24,"Feb 27, 2018",203.53,211.0,203.0,209.7,506100
25,"Feb 26, 2018",212.84,213.51,206.2,207.71,429600
26,"Feb 23, 2018",215.0,216.0,207.1,210.53,969000
27,"Feb 22, 2018",202.11,212.5,200.0,210.65,1432200
28,"Feb 21, 2018",209.6,211.49,200.5,204.09,1011700
29,"Feb 20, 2018",211.51,211.61,203.01,207.72,784100
30,"Feb 19, 2018",213.0,216.0,211.01,212.29,920100
31,"Feb 16, 2018",203.0,214.93,203.0,211.7,1355300
32,"Feb 15, 2018",203.47,205.0,198.52,204.7,552000
33,"Feb 14, 2018",197.2,206.0,195.5,204.37,1344000
34,"Feb 13, 2018",191.51,199.9,189.0,197.82,1667100
35,"Feb 12, 2018",195.5,195.92,191.0,191.51,820200
36,"Feb 9, 2018",190.87,196.0,190.11,195.22,750300
37,"Feb 8, 2018",193.06,195.99,191.0,193.29,344400
38,"Feb 7, 2018",195.5,197.0,194.5,195.11,1051800
39,"Feb 6, 2018",195.55,196.85,193.0,194.95,707000
40,"Feb 2, 2018",198.0,201.89,196.1,197.48,1017200
41,"Feb 1, 2018",195.0,201.0,194.0,198.45,1634300
42,"Mar 30, 2018",209.4,213.85,207.9,212.15,1077500
43,"Mar 29, 2018",208.88,210.0,207.1,208.12,1269600
44,"Mar 28, 2018",209.56,211.5,208.0,208.88,1093100
45,"Mar 27, 2018",211.0,213.89,210.5,210.9,150600
46,"Mar 26, 2018",211.0,216.5,210.31,213.1,976200
47,"Mar 22, 2018",211.89,214.99,211.89,214.71,657400
48,"Mar 21, 2018",205.01,212.9,205.25,211.89,995500
49,"Mar 20, 2018",197.6,208.0,197.6,204.92,1082500
50,"Mar 19, 2018",200.55,202.0,198.25,199.03,657100
51,"Mar 16, 2018",200.02,205.0,200.02,201.78,1043800
52,"Mar 15, 2018",200.08,203.5,198.11,202.35,528200
53,"Mar 14, 2018",205.4,205.4,199.5,200.08,2374500
54,"Mar 13, 2018",205.5,206.49,203.1,205.52,621600
55,"Mar 12, 2018",204.0,207.88,204.0,205.64,357700
56,"Mar 9, 2018",202.07,205.22,201.1,204.66,110600
57,"Mar 8, 2018",205.06,207.5,202.5,203.47,700600
58,"Mar 7, 2018",208.8,210.25,206.25,206.67,1772500
59,"Mar 6, 2018",212.0,214.0,208.52,209.48,431600
60,"Mar 5, 2018",210.0,214.88,208.05,212.86,423400
61,"Mar 2, 2018",208.0,211.0,206.02,210.09,584800
62,"Mar 1, 2018",208.0,209.9,206.1,208.14,608300
63,"Apr 30, 2018",197.22,199.5,192.5,194.7,1038700
64,"Apr 27, 2018",197.0,198.48,195.0,196.5,1792500
65,"Apr 26, 2018",199.99,200.0,193.99,195.97,1507700
66,"Apr 25, 2018",200.79,200.79,198.51,199.17,186800
67,"Apr 24, 2018",198.05,201.75,197.57,200.78,967700
68,"Apr 23, 2018",198.0,198.98,196.5,198.37,1088000
69,"Apr 20, 2018",200.0,202.7,195.6,197.44,532600
70,"Apr 19, 2018",198.01,202.7,195.06,199.54,1278300
71,"Apr 18, 2018",206.0,206.0,198.5,199.29,1696600
72,"Apr 17, 2018",208.99,208.99,203.56,205.87,2731400
73,"Apr 16, 2018",207.05,210.5,207.05,209.05,266900
74,"Apr 13, 2018",209.6,210.9,208.75,209.17,851700
