,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",99.9,100.0,98.5,98.78,248500
1,"Jan 30, 2018",98.52,101.0,98.52,99.56,1399500
2,"Jan 29, 2018",98.8,99.25,98.5,99.05,1057500
3,"Jan 26, 2018",101.25,101.25,98.5,98.92,667500
4,"Jan 25, 2018",101.22,101.26,99.9,100.48,980000
5,"Jan 24, 2018",99.97,102.25,99.97,101.7,2945500
6,"Jan 23, 2018",99.9,100.0,98.6,99.95,504000
7,"Jan 22, 2018",96.6,100.0,96.0,99.79,2642000
8,"Jan 19, 2018",94.99,96.59,94.3,96.01,2483500
9,"Jan 18, 2018",94.5,96.0,93.51,94.99,1911000
10,"Jan 17, 2018",93.8,94.15,92.5,94.02,1587500
11,"Jan 16, 2018",91.4,93.98,91.4,93.57,493500
12,"Jan 15, 2018",91.5,91.5,90.5,90.77,654500
13,"Jan 12, 2018",91.6,92.9,91.01,91.54,982500
14,"Jan 11, 2018",94.0,95.4,91.5,91.83,675500
15,"Jan 10, 2018",92.97,94.93,92.41,94.1,777500
16,"Jan 9, 2018",94.75,94.75,92.49,92.83,257500
17,"Jan 8, 2018",93.98,95.49,93.1,94.27,6103500
18,"Jan 5, 2018",93.45,94.0,92.36,93.38,755000
19,"Jan 4, 2018",92.98,92.99,92.1,92.45,1383000
20,"Jan 3, 2018",91.8,92.69,91.25,92.15,858000
21,"Jan 2, 2018",90.01,92.8,90.0,91.49,1438500
22,"Jan 1, 2018",90.56,91.79,90.05,90.3,180500
23,"Feb 28, 2018",97.4,99.0,97.4,98.05,906000
24,"Feb 27, 2018",95.15,98.6,95.0,96.62,1213000
25,"Feb 26, 2018",97.0,97.0,95.6,95.91,518000
26,"Feb 23, 2018",96.5,97.95,95.51,97.19,430000
27,"Feb 22, 2018",96.0,97.5,96.0,97.25,106500
28,"Feb 21, 2018",97.97,98.44,95.5,96.14,560000
29,"Feb 20, 2018",99.95,99.95,96.75,97.15,879500
30,"Feb 19, 2018",99.0,99.96,98.0,99.29,714000
31,"Feb 16, 2018",97.1,98.97,94.0,98.56,197000
32,"Feb 15, 2018",98.62,99.0,97.01,97.1,353500
33,"Feb 14, 2018",98.99,99.3,98.1,98.99,862500
34,"Feb 13, 2018",98.1,99.05,98.0,99.0,442000
35,"Feb 12, 2018",98.11,99.3,97.55,98.31,455000
36,"Feb 9, 2018",97.5,98.75,97.0,98.63,562000
37,"Feb 8, 2018",99.1,99.5,97.75,98.9,590500
38,"Feb 7, 2018",98.0,99.65,97.99,99.13,1802000
39,"Feb 6, 2018",97.85,97.85,95.75,96.59,336000
40,"Feb 2, 2018",100.5,100.5,97.52,97.99,670500
41,"Feb 1, 2018",100.0,102.01,99.01,100.69,5286500
42,"Mar 30, 2018",101.2,101.51,100.1,100.5,149500
43,"Mar 29, 2018",99.5,101.8,99.05,101.12,565500
44,"Mar 28, 2018",99.71,99.95,99.14,99.6,92000
45,"Mar 27, 2018",99.5,101.45,99.5,99.9,280500
46,"Mar 26, 2018",99.8,101.5,99.0,100.66,309000
47,"Mar 22, 2018",99.16,101.24,99.05,100.71,374500
48,"Mar 21, 2018",100.9,101.5,99.01,99.68,503500
49,"Mar 20, 2018",97.31,101.5,97.25,100.59,2104000
50,"Mar 19, 2018",97.99,98.0,97.0,97.29,555000
51,"Mar 16, 2018",97.05,98.0,96.25,97.66,1016000
52,"Mar 15, 2018",97.37,97.89,97.0,97.42,101000
53,"Mar 14, 2018",98.74,98.74,97.04,97.37,225500
54,"Mar 13, 2018",97.0,98.99,96.98,98.74,1663500
55,"Mar 12, 2018",96.1,97.84,96.1,97.27,209000
56,"Mar 9, 2018",96.88,97.45,96.0,97.0,276000
57,"Mar 8, 2018",98.49,99.3,96.0,96.25,579500
58,"Mar 7, 2018",97.6,100.45,97.36,97.84,709500
59,"Mar 6, 2018",99.5,100.0,97.27,98.99,931500
60,"Mar 5, 2018",99.0,99.45,98.0,99.1,134500
61,"Mar 2, 2018",98.25,99.4,97.5,98.91,624000
62,"Mar 1, 2018",98.5,99.5,97.5,98.0,346500
63,"Apr 30, 2018",102.7,104.0,102.7,103.06,1093500
64,"Apr 27, 2018",102.29,103.0,101.9,102.4,148000
65,"Apr 26, 2018",103.0,103.0,102.01,102.02,307000
66,"Apr 25, 2018",103.5,103.8,102.5,103.0,51000
67,"Apr 24, 2018",102.25,104.49,102.0,103.55,552000
68,"Apr 23, 2018",102.06,103.48,102.06,102.17,1681500
69,"Apr 20, 2018",104.0,104.0,101.99,102.46,405000
70,"Apr 19, 2018",103.55,104.0,102.85,103.68,357500
71,"Apr 18, 2018",104.74,104.74,103.5,103.6,1066000
72,"Apr 17, 2018",104.15,105.4,103.5,104.06,748000
73,"Apr 16, 2018",103.3,104.55,103.3,104.47,736000
74,"Apr 13, 2018",104.0,105.0,103.5,104.87,1289000
75,"Apr 12, 2018",104.0,104.87,103.85,104.15,263000
76,"Apr 11, 2018",103.99,105.0,103.75,104.11,977500
77,"Apr 10, 2018",104.9,105.45,103.0,103.57,169500
78,"Apr 9, 2018",103.52,104.89,103.05,104.36,1079500
79,"Apr 6, 2018",102.99,105.5,102.99,104.17,4582000
80,"Apr 5, 2018",100.5,102.9,100.3,102.48,1516000
81,"Apr 4, 2018",101.05,102.71,99.85,100.06,636000
82,"Apr 3, 2018",101.2,101.89,100.0,101.43,551000
83,"Apr 2, 2018",100.01,101.5,100.01,100.45,304500
84,"May 31, 2018",99.5,100.0,98.0,98.81,579000
85,"May 30, 2018",100.0,100.0,98.8,98.99,300000
86,"May 29, 2018",99.0,99.99,99.0,99.72,567500
87,"May 28, 2018",97.5,99.5,97.5,99.16,243000
88,"May 25, 2018",99.55,99.6,97.98,98.03,174500
89,"May 24, 2018",98.98,100.49,97.5,99.47,1081500
90,"May 23, 2018",98.0,100.0,97.55,99.24,1021000
91,"May 22, 2018",93.5,97.5,93.5,97.39,1899500
92,"May 21, 2018",94.75,94.75,92.9,93.05,694000
93,"May 18, 2018",95.3,95.5,93.75,94.51,1587500
94,"May 17, 2018",96.08,96.08,95.0,95.29,226000
95,"May 16, 2018",97.06,97.8,96.1,96.53,315500
96,"May 15, 2018",97.01,98.25,94.92,97.05,515000
97,"May 14, 2018",97.5,97.98,96.44,96.94,351500
98,"May 11, 2018",99.5,100.0,96.5,97.15,3068500
99,"May 10, 2018",102.0,102.0,99.4,99.48,471000
100,"May 9, 2018",100.55,101.9,99.5,100.13,1356500
101,"May 8, 2018",101.5,101.5,100.5,100.55,278500
102,"May 7, 2018",102.0,102.0,100.5,101.0,250500
103,"May 4, 2018",101.5,102.49,101.05,102.07,206500
104,"May 3, 2018",102.25,103.59,101.5,101.5,640000
105,"May 2, 2018",102.7,102.7,101.61,102.17,154500
106,"Jun 29, 2018",92.99,93.0,92.0,92.16,288500
107,"Jun 28, 2018",90.51,93.6,90.51,92.65,452500
108,"Jun 27, 2018",92.0,93.0,91.2,92.0,1228500
109,"Jun 26, 2018",92.4,92.4,90.7,91.5,351000
110,"Jun 25, 2018",92.52,93.85,91.0,91.72,1009500
111,"Jun 22, 2018",97.4,97.88,93.0,93.84,1592000
112,"Jun 21, 2018",98.0,98.0,96.5,97.2,277000
113,"Jun 20, 2018",98.98,99.45,97.01,98.4,551500
114,"Jun 19, 2018",98.0,99.5,98.0,98.94,654500
115,"Jun 14, 2018",98.0,99.0,97.0,98.15,994500
116,"Jun 13, 2018",98.0,98.0,97.06,97.47,198500
117,"Jun 12, 2018",97.5,98.5,97.5,98.18,653500
118,"Jun 11, 2018",97.01,99.49,97.01,97.97,1278000
119,"Jun 7, 2018",96.48,97.01,95.65,96.26,684000
120,"Jun 6, 2018",96.5,96.75,95.5,96.0,287500
