,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",124.9,124.99,123.0,123.24,879500
1,"Jan 30, 2018",123.9,125.16,122.7,124.04,2045600
2,"Jan 29, 2018",125.83,125.83,122.75,123.29,2004700
3,"Jan 26, 2018",124.0,126.67,120.5,125.83,4775000
4,"Jan 25, 2018",126.5,126.5,123.5,124.23,1907200
5,"Jan 24, 2018",126.5,128.49,124.75,127.0,7992300
6,"Jan 23, 2018",121.51,126.25,117.3,124.28,8631100
7,"Jan 22, 2018",120.8,124.5,120.8,121.67,5525800
8,"Jan 19, 2018",117.45,121.65,116.41,120.71,5716900
9,"Jan 18, 2018",119.5,121.0,114.0,116.38,6826400
10,"Jan 17, 2018",114.35,117.24,112.2,116.3,2975300
11,"Jan 16, 2018",111.49,115.25,110.99,113.37,3105500
12,"Jan 15, 2018",114.23,114.23,109.53,109.91,2965600
13,"Jan 12, 2018",120.5,121.9,115.21,115.21,6258100
14,"Jan 11, 2018",121.49,123.99,117.65,121.27,8921400
15,"Jan 10, 2018",114.6,120.17,114.51,120.17,6519200
16,"Jan 9, 2018",116.5,116.5,113.15,114.45,2181100
17,"Jan 8, 2018",113.76,117.65,113.76,116.1,3431900
18,"Jan 5, 2018",108.31,113.62,107.75,112.82,3234600
19,"Jan 4, 2018",109.0,109.55,106.55,108.23,999700
20,"Jan 3, 2018",110.69,112.98,108.6,108.91,2470400
21,"Jan 2, 2018",107.9,112.09,106.7,109.99,3374800
22,"Jan 1, 2018",105.2,111.26,102.51,109.18,2056500
23,"Feb 28, 2018",117.65,121.48,117.65,120.31,2381300
24,"Feb 27, 2018",117.61,119.1,117.27,117.81,1016800
25,"Feb 26, 2018",117.0,120.7,116.5,117.51,3570900
26,"Feb 23, 2018",117.4,118.95,115.0,116.26,2362400
27,"Feb 22, 2018",113.56,117.3,111.1,116.91,2289700
28,"Feb 21, 2018",118.78,119.3,115.1,115.72,1183100
29,"Feb 20, 2018",116.5,116.99,112.01,116.19,2260900
30,"Feb 19, 2018",118.0,118.9,116.0,116.45,639200
31,"Feb 16, 2018",113.5,118.0,113.5,116.93,817400
32,"Feb 15, 2018",119.9,119.9,113.25,114.05,1708400
33,"Feb 14, 2018",121.51,121.7,118.5,118.98,937100
34,"Feb 13, 2018",122.35,124.25,121.5,121.72,1314100
35,"Feb 12, 2018",122.55,123.3,121.5,122.18,797600
36,"Feb 9, 2018",119.79,123.3,118.0,122.82,2027300
37,"Feb 8, 2018",121.85,122.25,119.5,120.12,2109800
38,"Feb 7, 2018",124.5,126.35,117.64,121.51,6927300
39,"Feb 6, 2018",123.5,124.79,122.22,123.83,2085200
40,"Feb 2, 2018",125.8,128.25,124.55,126.06,4030000
41,"Feb 1, 2018",123.59,126.68,123.31,125.81,3749500
42,"Mar 30, 2018",118.25,118.25,115.7,115.91,548200
43,"Mar 29, 2018",119.4,119.4,117.11,117.38,483500
