,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",58.65,58.65,57.88,58.09,68500
1,"Jan 30, 2018",57.99,58.0,57.6,58.0,162500
2,"Jan 29, 2018",58.0,58.0,57.7,57.8,230500
3,"Jan 26, 2018",58.01,58.34,57.8,58.05,143500
4,"Jan 25, 2018",58.22,58.89,58.0,58.29,168500
5,"Jan 24, 2018",57.9,58.5,57.75,58.01,672500
6,"Jan 23, 2018",58.45,58.45,57.5,57.84,156000
7,"Jan 22, 2018",57.11,58.1,57.11,58.0,379500
8,"Jan 19, 2018",56.5,57.5,56.5,57.46,192500
9,"Jan 18, 2018",57.45,57.99,56.5,56.78,258500
10,"Jan 17, 2018",56.88,57.5,56.02,57.15,180000
11,"Jan 16, 2018",54.01,56.49,54.01,56.07,141500
12,"Jan 15, 2018",56.1,56.1,54.51,54.79,130500
13,"Jan 12, 2018",57.4,57.4,55.5,56.1,614000
14,"Jan 11, 2018",57.0,57.5,56.2,57.07,251000
15,"Jan 10, 2018",56.05,57.5,56.05,56.69,405500
16,"Jan 9, 2018",57.0,57.49,56.11,56.55,207000
17,"Jan 8, 2018",58.95,59.0,56.65,57.08,585000
18,"Jan 5, 2018",57.65,58.5,57.5,58.03,268500
19,"Jan 4, 2018",56.52,57.75,56.51,57.59,188500
20,"Jan 3, 2018",56.05,57.48,56.0,57.25,493000
21,"Jan 2, 2018",55.5,56.5,54.8,56.45,513500
22,"Jan 1, 2018",54.2,56.47,53.76,55.92,334500
23,"Feb 28, 2018",59.98,59.99,59.51,59.78,412500
24,"Feb 27, 2018",59.11,59.8,59.1,59.5,577000
25,"Feb 26, 2018",59.99,59.99,58.7,59.26,493500
26,"Feb 23, 2018",59.65,59.99,58.87,59.33,1427500
27,"Feb 22, 2018",58.0,59.0,57.35,58.55,241500
28,"Feb 21, 2018",58.15,58.5,58.15,58.22,71000
29,"Feb 20, 2018",58.2,58.45,57.81,58.37,112500
30,"Feb 19, 2018",58.16,58.5,57.76,58.18,214000
31,"Feb 16, 2018",57.6,57.69,56.76,57.02,96000
32,"Feb 15, 2018",58.01,58.44,56.61,56.84,109000
33,"Feb 14, 2018",58.3,58.64,57.9,58.19,256500
