,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",631.83,633.58,610.05,615.21,401650
1,"Jan 30, 2018",639.52,643.01,625.06,631.83,219150
2,"Jan 29, 2018",655.0,656.0,633.05,639.52,392500
3,"Jan 26, 2018",662.0,669.0,639.95,658.49,302700
4,"Jan 25, 2018",676.0,676.0,660.0,666.64,376250
5,"Jan 24, 2018",655.0,678.25,645.01,677.64,742700
6,"Jan 23, 2018",641.0,648.0,635.0,645.96,571800
7,"Jan 22, 2018",621.5,641.0,620.25,638.49,547300
8,"Jan 19, 2018",610.0,622.0,604.0,619.86,309650
9,"Jan 18, 2018",613.9,619.9,594.5,607.38,805000
10,"Jan 17, 2018",608.95,609.45,596.5,605.74,326350
11,"Jan 16, 2018",586.4,609.67,580.0,600.52,1042550
12,"Jan 15, 2018",575.0,585.0,571.0,580.64,438400
13,"Jan 12, 2018",582.0,585.0,572.0,579.3,686150
14,"Jan 11, 2018",584.25,590.0,571.81,579.36,615600
15,"Jan 10, 2018",571.5,590.0,566.2,583.89,540650
16,"Jan 9, 2018",572.14,576.0,559.99,570.57,509800
17,"Jan 8, 2018",580.0,585.0,571.0,574.85,425200
18,"Jan 5, 2018",559.99,578.0,559.99,574.9,476500
19,"Jan 4, 2018",544.9,563.95,540.0,558.49,857900
20,"Jan 3, 2018",540.48,552.0,535.0,543.19,656350
21,"Jan 2, 2018",520.0,544.0,517.0,540.48,806950
22,"Jan 1, 2018",515.0,528.0,507.0,522.93,129900
23,"Feb 28, 2018",591.0,603.0,589.99,600.75,375350
24,"Feb 27, 2018",591.0,596.0,584.0,589.15,335550
25,"Feb 26, 2018",608.94,608.94,582.5,590.26,331800
26,"Feb 23, 2018",604.0,612.5,598.0,600.65,339050
27,"Feb 22, 2018",592.0,610.0,580.0,603.15,420200
28,"Feb 21, 2018",610.0,612.5,586.5,592.38,182750
29,"Feb 20, 2018",604.88,606.12,592.0,601.29,303250
30,"Feb 19, 2018",586.02,601.0,586.02,597.39,195650
31,"Feb 16, 2018",574.0,590.0,574.0,586.02,100350
32,"Feb 15, 2018",587.2,598.0,570.1,573.64,263500
33,"Feb 14, 2018",603.0,603.0,585.0,586.94,322700
34,"Feb 13, 2018",614.6,614.6,597.01,601.46,217550
