,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",1516.01,1569.75,1516.01,1561.53,12900
1,"Jan 30, 2018",1520.1,1560.0,1520.0,1551.67,8680
2,"Jan 29, 2018",1515.0,1530.0,1515.0,1525.1,260
3,"Jan 26, 2018",1540.0,1540.0,1520.0,1531.2,11940
4,"Jan 25, 2018",1515.2,1550.0,1515.2,1536.56,12340
5,"Jan 24, 2018",1500.0,1520.0,1440.0,1510.57,86940
6,"Jan 23, 2018",1510.0,1510.0,1490.0,1501.48,11500
7,"Jan 22, 2018",1500.0,1509.99,1475.0,1503.47,31100
8,"Jan 19, 2018",1501.0,1501.0,1494.1,1499.98,15960
9,"Jan 18, 2018",1515.4,1535.4,1502.0,1511.93,40900
10,"Jan 17, 2018",1500.0,1509.9,1494.5,1500.46,36260
11,"Jan 16, 2018",1485.0,1500.0,1485.0,1498.71,3300
12,"Jan 15, 2018",1497.99,1497.99,1470.0,1473.84,2860
13,"Jan 12, 2018",1490.0,1500.0,1470.0,1489.71,10900
14,"Jan 11, 2018",1500.0,1505.0,1480.0,1487.48,12100
15,"Jan 10, 2018",1500.0,1517.86,1474.0,1498.02,21000
16,"Jan 9, 2018",1510.0,1510.0,1481.01,1487.08,5200
17,"Jan 8, 2018",1500.0,1515.0,1494.0,1509.85,8900
18,"Jan 5, 2018",1481.01,1520.0,1481.01,1497.79,6940
19,"Jan 4, 2018",1508.76,1525.0,1500.0,1500.1,18600
20,"Jan 3, 2018",1538.0,1540.0,1480.0,1492.3,85480
21,"Jan 2, 2018",1467.99,1507.99,1465.0,1501.42,6700
22,"Jan 1, 2018",1451.0,1470.0,1430.0,1438.12,1360
23,"Feb 28, 2018",1536.5,1540.0,1458.12,1471.89,76840
24,"Feb 27, 2018",1528.0,1550.0,1525.01,1534.86,700
25,"Feb 26, 2018",1549.0,1561.0,1530.02,1551.44,760
26,"Feb 23, 2018",1550.0,1580.0,1530.0,1562.64,5200
27,"Feb 22, 2018",1530.0,1567.0,1530.0,1563.59,5080
28,"Feb 21, 2018",1566.0,1566.0,1539.98,1541.6,2600
29,"Feb 20, 2018",1560.0,1565.0,1520.0,1552.47,4320
30,"Feb 19, 2018",1560.0,1580.0,1549.99,1560.7,10220
31,"Feb 16, 2018",1555.0,1580.0,1554.5,1560.06,7160
32,"Feb 15, 2018",1535.01,1598.0,1525.63,1540.01,10580
33,"Feb 14, 2018",1575.0,1575.0,1535.0,1548.85,16080
34,"Feb 13, 2018",1590.0,1590.0,1575.0,1578.97,920
35,"Feb 12, 2018",1580.0,1580.0,1560.0,1572.24,8660
36,"Feb 9, 2018",1561.0,1600.0,1561.0,1581.89,11740
37,"Feb 8, 2018",1599.74,1599.74,1565.0,1568.75,3280
38,"Feb 7, 2018",1669.99,1669.99,1575.0,1582.02,6640
39,"Feb 6, 2018",1540.0,1610.0,1540.0,1595.1,42740
40,"Feb 2, 2018",1588.0,1611.8,1566.0,1595.52,6340
41,"Feb 1, 2018",1564.97,1590.0,1564.97,1584.71,2420
42,"Mar 30, 2018",1450.0,1490.0,1432.0,1480.56,9840
43,"Mar 29, 2018",1445.51,1462.0,1445.0,1460.53,19340
44,"Mar 28, 2018",1459.99,1465.0,1451.0,1458.72,700
45,"Mar 27, 2018",1480.0,1480.0,1448.0,1452.14,23600
46,"Mar 26, 2018",1461.15,1485.0,1461.0,1479.37,10220
47,"Mar 22, 2018",1473.99,1474.0,1455.0,1461.17,5760
48,"Mar 21, 2018",1464.99,1475.0,1450.0,1451.25,3580
49,"Mar 20, 2018",1429.98,1452.5,1429.98,1450.01,24200
50,"Mar 19, 2018",1410.01,1425.0,1410.0,1420.49,4980
51,"Mar 16, 2018",1420.2,1428.9,1395.0,1421.62,22860
52,"Mar 15, 2018",1429.0,1429.95,1420.0,1424.73,4420
53,"Mar 14, 2018",1427.0,1429.98,1420.51,1425.61,3500
54,"Mar 13, 2018",1429.99,1438.5,1429.99,1430.35,20200
55,"Mar 12, 2018",1420.0,1425.0,1420.0,1424.63,4840
56,"Mar 9, 2018",1418.1,1420.3,1412.0,1418.01,2260
57,"Mar 8, 2018",1423.0,1425.0,1411.0,1418.2,9360
58,"Mar 7, 2018",1410.0,1425.25,1410.0,1420.78,7580
59,"Mar 6, 2018",1431.0,1431.0,1428.0,1428.82,15800
60,"Mar 5, 2018",1428.0,1434.99,1425.0,1429.86,9360
61,"Mar 2, 2018",1440.4,1445.0,1425.0,1425.81,18480
62,"Mar 1, 2018",1477.99,1490.0,1425.01,1440.05,46060
63,"Apr 30, 2018",1528.99,1548.99,1528.99,1537.79,5460
64,"Apr 27, 2018",1521.99,1529.99,1500.2,1516.58,59800
65,"Apr 26, 2018",1539.99,1539.99,1521.01,1522.34,680
66,"Apr 25, 2018",1530.0,1534.0,1520.0,1531.74,1320
67,"Apr 24, 2018",1530.0,1540.0,1511.0,1533.12,4280
68,"Apr 23, 2018",1549.49,1549.49,1520.0,1520.67,460
69,"Apr 20, 2018",1510.01,1540.0,1510.01,1540.0,65740
70,"Apr 19, 2018",1528.0,1529.0,1515.0,1522.92,9420
71,"Apr 18, 2018",1521.0,1521.55,1515.0,1515.25,9420
72,"Apr 17, 2018",1500.0,1548.88,1500.0,1529.74,53760
73,"Apr 16, 2018",1517.64,1548.99,1515.0,1536.01,63600
74,"Apr 13, 2018",1529.9,1535.0,1502.15,1517.64,460
75,"Apr 12, 2018",1540.0,1550.0,1500.01,1522.28,14120
76,"Apr 11, 2018",1505.5,1548.9,1505.5,1534.0,4960
77,"Apr 10, 2018",1510.0,1530.0,1510.0,1529.0,2740
78,"Apr 9, 2018",1523.5,1547.84,1499.99,1517.04,8500
79,"Apr 6, 2018",1481.0,1525.0,1481.0,1517.35,183060
80,"Apr 5, 2018",1500.0,1510.0,1488.0,1490.53,24120
81,"Apr 4, 2018",1460.05,1500.0,1460.05,1486.64,49820
82,"Apr 3, 2018",1480.0,1480.0,1456.0,1465.35,8360
83,"Apr 2, 2018",1486.0,1487.0,1458.0,1471.03,2880
84,"May 31, 2018",1545.0,1545.0,1500.0,1520.39,14620
85,"May 30, 2018",1529.97,1539.9,1510.0,1521.38,3540
86,"May 29, 2018",1528.0,1530.0,1510.01,1521.37,2000
87,"May 28, 2018",1529.9,1534.99,1510.0,1519.21,20580
88,"May 25, 2018",1525.0,1530.0,1510.0,1510.7,20320
89,"May 24, 2018",1515.0,1550.0,1515.0,1519.87,4040
90,"May 23, 2018",1529.9,1530.0,1512.5,1522.54,9060
91,"May 22, 2018",1510.0,1525.9,1500.0,1525.12,5740
92,"May 21, 2018",1515.0,1515.0,1499.99,1503.68,2080
93,"May 18, 2018",1548.0,1548.0,1516.0,1520.25,7800
94,"May 17, 2018",1515.0,1525.0,1515.0,1515.0,540
95,"May 16, 2018",1525.0,1525.01,1515.0,1518.44,3780
96,"May 15, 2018",1501.0,1540.0,1501.0,1519.47,7900
97,"May 14, 2018",1535.0,1550.0,1525.0,1534.45,6280
98,"May 11, 2018",1575.0,1575.0,1570.05,1571.01,1980
99,"May 10, 2018",1570.01,1580.0,1570.0,1572.22,6400
100,"May 9, 2018",1600.0,1620.0,1530.11,1589.69,45480
101,"May 8, 2018",1506.0,1600.0,1506.0,1593.97,92560
102,"May 7, 2018",1550.0,1567.79,1550.0,1550.14,13980
103,"May 4, 2018",1529.0,1550.0,1529.0,1550.0,9520
104,"May 3, 2018",1550.0,1551.2,1540.0,1545.67,2740
105,"May 2, 2018",1525.01,1551.0,1521.1,1550.04,4500
106,"Jun 29, 2018",1510.0,1526.0,1470.0,1506.18,17640
107,"Jun 28, 2018",1480.0,1520.0,1479.99,1495.67,17820
108,"Jun 27, 2018",1490.0,1500.0,1471.0,1480.0,23440
109,"Jun 26, 2018",1489.99,1490.0,1434.0,1452.0,23140
110,"Jun 25, 2018",1440.01,1500.0,1440.0,1456.45,37200
111,"Jun 22, 2018",1510.0,1515.0,1475.0,1487.78,31200
112,"Jun 21, 2018",1535.0,1535.0,1505.0,1515.95,13820
113,"Jun 20, 2018",1550.0,1550.0,1534.01,1535.01,3480
114,"Jun 19, 2018",1562.0,1562.0,1540.0,1545.92,7940
115,"Jun 14, 2018",1540.0,1574.99,1540.0,1562.63,13040
116,"Jun 13, 2018",1569.99,1569.99,1543.01,1549.65,3500
117,"Jun 12, 2018",1559.0,1600.0,1541.0,1549.98,19740
118,"Jun 11, 2018",1515.01,1560.0,1515.01,1541.06,3480
119,"Jun 7, 2018",1515.01,1547.99,1500.0,1531.03,21020
120,"Jun 6, 2018",1618.99,1618.99,1530.0,1532.12,12780
121,"Jun 5, 2018",1525.0,1600.0,1512.0,1555.34,13620
122,"Jun 4, 2018",1533.0,1535.0,1532.99,1534.9,220
123,"Jun 1, 2018",1524.99,1535.0,1505.0,1528.95,13460
124,"Jul 31, 2018",1495.0,1495.0,1456.02,1465.9,13360
125,"Jul 30, 2018",1461.9,1505.37,1460.0,1498.72,49860
126,"Jul 27, 2018",1449.0,1460.0,1425.0,1433.69,30620
127,"Jul 26, 2018",1470.0,1470.0,1422.21,1429.56,16740
128,"Jul 24, 2018",1353.0,1453.0,1353.0,1432.21,21720
129,"Jul 23, 2018",1460.0,1460.0,1400.0,1404.88,17820
130,"Jul 20, 2018",1450.0,1486.0,1442.0,1460.14,14920
131,"Jul 19, 2018",1498.9,1500.0,1471.22,1495.15,18500
132,"Jul 18, 2018",1435.0,1474.8,1427.0,1456.43,16400
133,"Jul 17, 2018",1435.0,1435.0,1411.0,1426.8,3180
134,"Jul 16, 2018",1434.0,1450.0,1400.1,1450.0,24660
135,"Jul 13, 2018",1415.0,1449.88,1415.0,1433.53,7440
136,"Jul 12, 2018",1400.01,1410.0,1375.0,1401.22,1700
137,"Jul 11, 2018",1389.99,1404.0,1389.99,1397.73,4080
138,"Jul 10, 2018",1377.0,1421.0,1340.0,1372.91,64760
139,"Jul 9, 2018",1425.0,1429.0,1399.89,1400.0,9340
140,"Jul 6, 2018",1450.0,1488.0,1435.14,1452.41,2700
141,"Jul 5, 2018",1488.0,1520.19,1456.21,1474.56,17260
142,"Jul 4, 2018",1486.01,1487.0,1436.0,1447.83,7760
143,"Jul 3, 2018",1500.0,1505.0,1500.0,1500.05,4300
144,"Jul 2, 2018",1500.0,1500.01,1500.0,1500.0,1520
145,"Aug 31, 2018",1548.0,1548.0,1517.25,1531.62,3140
146,"Aug 30, 2018",1554.95,1559.5,1518.99,1539.79,13360
147,"Aug 29, 2018",1532.0,1590.0,1521.0,1544.38,5500
148,"Aug 28, 2018",1585.9,1585.9,1535.0,1553.26,4280
149,"Aug 27, 2018",1585.0,1590.0,1562.0,1583.12,880
150,"Aug 24, 2018",1580.0,1600.1,1560.01,1589.95,27660
151,"Aug 20, 2018",1571.0,1599.0,1570.0,1589.55,1080
152,"Aug 17, 2018",1575.0,1585.0,1555.0,1575.1,23080
153,"Aug 16, 2018",1574.98,1574.99,1570.0,1573.44,440
154,"Aug 15, 2018",1566.65,1580.0,1565.0,1574.55,35840
155,"Aug 13, 2018",1540.1,1560.1,1520.16,1550.0,20060
156,"Aug 10, 2018",1550.0,1568.0,1543.0,1544.92,3640
157,"Aug 9, 2018",1520.0,1575.0,1500.0,1537.67,10300
158,"Aug 8, 2018",1505.0,1528.98,1505.0,1521.63,102340
159,"Aug 7, 2018",1495.0,1519.0,1491.0,1508.95,800
160,"Aug 6, 2018",1499.0,1500.0,1470.0,1498.85,1660
161,"Aug 3, 2018",1466.0,1498.0,1465.0,1479.27,3480
162,"Aug 2, 2018",1477.0,1477.0,1460.0,1469.67,1780
163,"Aug 1, 2018",1451.0,1490.0,1451.0,1480.0,13800
164,"Sep 28, 2018",1539.93,1592.08,1501.0,1558.33,14600
165,"Sep 27, 2018",1525.0,1538.0,1520.0,1526.57,254620
166,"Sep 26, 2018",1559.9,1560.0,1520.0,1520.4,2280
167,"Sep 25, 2018",1506.99,1545.0,1499.5,1536.77,22940
168,"Sep 24, 2018",1510.0,1510.0,1495.0,1495.0,1060
169,"Sep 19, 2018",1506.0,1519.9,1505.57,1510.83,89980
170,"Sep 18, 2018",1526.0,1576.0,1521.01,1522.15,10580
171,"Sep 17, 2018",1526.0,1567.99,1520.0,1524.93,248640
172,"Sep 14, 2018",1529.0,1529.95,1519.0,1521.14,840
173,"Sep 13, 2018",1500.0,1520.0,1496.0,1516.11,25920
174,"Sep 12, 2018",1480.01,1504.99,1480.01,1500.0,10540
175,"Sep 11, 2018",1509.99,1509.99,1480.0,1497.73,11560
176,"Sep 10, 2018",1490.0,1500.01,1490.0,1500.0,9580
177,"Sep 7, 2018",1530.0,1530.0,1500.0,1500.07,5720
178,"Sep 6, 2018",1519.99,1520.0,1510.0,1519.93,600
179,"Sep 5, 2018",1540.0,1540.0,1511.0,1518.2,11680
180,"Sep 4, 2018",1539.8,1539.9,1502.0,1524.83,1520
181,"Sep 3, 2018",1523.0,1548.9,1518.5,1533.09,13860
182,"Oct 31, 2018",1500.0,1500.0,1451.01,1475.0,24160
183,"Oct 30, 2018",1499.5,1500.0,1450.1,1487.88,121640
184,"Oct 29, 2018",1433.0,1485.0,1422.0,1479.36,34960
185,"Oct 26, 2018",1422.0,1447.0,1410.01,1431.02,7840
186,"Oct 25, 2018",1417.0,1444.0,1417.0,1429.56,6400
187,"Oct 24, 2018",1420.0,1470.0,1410.0,1443.21,26640
188,"Oct 23, 2018",1420.0,1420.0,1390.1,1407.66,14520
189,"Oct 22, 2018",1415.0,1429.99,1410.0,1425.08,3580
190,"Oct 19, 2018",1415.2,1430.0,1401.1,1419.48,5140
191,"Oct 18, 2018",1420.0,1455.0,1400.0,1432.48,9840
192,"Oct 17, 2018",1400.0,1445.0,1400.0,1424.93,15720
193,"Oct 16, 2018",1401.01,1415.0,1360.0,1400.35,11020
194,"Oct 15, 2018",1381.0,1426.95,1381.0,1401.2,101420
195,"Oct 12, 2018",1426.1,1460.0,1426.1,1441.89,2840
196,"Oct 11, 2018",1410.0,1497.51,1400.0,1477.53,14160
197,"Oct 10, 2018",1436.0,1440.0,1406.0,1426.2,7960
198,"Oct 9, 2018",1486.0,1552.71,1486.0,1550.85,36420
199,"Oct 8, 2018",1515.0,1515.0,1475.0,1478.78,11120
200,"Oct 5, 2018",1550.0,1550.0,1515.15,1524.92,9080
201,"Oct 4, 2018",1531.1,1544.0,1515.0,1537.73,520
202,"Oct 3, 2018",1556.0,1560.0,1540.0,1554.28,5300
203,"Oct 2, 2018",1562.0,1568.9,1554.99,1555.72,239880
204,"Oct 1, 2018",1544.99,1590.0,1540.01,1561.88,33720
205,"Nov 30, 2018",1287.05,1391.57,1287.05,1391.31,30920
206,"Nov 29, 2018",1330.01,1330.01,1325.0,1325.31,11160
207,"Nov 28, 2018",1346.41,1365.0,1330.01,1346.96,10680
208,"Nov 27, 2018",1350.0,1355.0,1320.0,1346.41,20140
209,"Nov 26, 2018",1340.0,1364.0,1320.02,1355.84,12400
210,"Nov 23, 2018",1331.1,1373.99,1331.1,1343.11,13820
211,"Nov 22, 2018",1409.0,1409.0,1350.0,1358.91,21180
212,"Nov 20, 2018",1400.0,1417.0,1390.0,1404.98,2420
213,"Nov 19, 2018",1420.0,1420.0,1400.0,1400.43,26740
214,"Nov 16, 2018",1390.13,1413.9,1390.13,1402.79,5820
215,"Nov 15, 2018",1398.0,1398.0,1370.0,1385.26,15740
216,"Nov 14, 2018",1400.0,1400.01,1350.0,1369.45,90660
217,"Nov 13, 2018",1400.0,1419.99,1380.0,1401.12,16820
218,"Nov 12, 2018",1400.0,1409.99,1400.0,1401.73,7680
219,"Nov 9, 2018",1411.0,1415.0,1365.0,1399.47,18660
220,"Nov 8, 2018",1407.0,1420.0,1405.0,1411.82,4860
221,"Nov 7, 2018",1411.21,1420.0,1407.0,1415.07,6860
222,"Nov 6, 2018",1418.88,1418.88,1406.02,1411.2,16200
223,"Nov 5, 2018",1420.0,1420.0,1400.0,1406.02,19180
224,"Nov 2, 2018",1455.02,1455.02,1406.0,1421.32,61660
225,"Nov 1, 2018",1475.0,1475.0,1450.0,1472.22,17600
226,"Dec 31, 2018",1200.0,1300.0,1200.0,1235.86,30080
227,"Dec 28, 2018",1226.0,1266.0,1210.0,1246.86,46420
228,"Dec 27, 2018",1281.0,1300.0,1225.75,1255.72,37180
229,"Dec 26, 2018",1275.0,1295.0,1236.0,1276.72,17120
