,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",233.99,234.49,225.01,226.57,622000
1,"Jan 30, 2018",236.3,236.9,230.15,233.01,492900
2,"Jan 29, 2018",238.0,243.0,232.5,236.34,1224500
3,"Jan 26, 2018",236.56,236.56,231.5,233.21,180600
4,"Jan 25, 2018",236.99,237.49,235.0,236.56,140300
5,"Jan 24, 2018",232.21,237.0,232.07,236.45,794800
6,"Jan 23, 2018",233.0,235.0,230.0,234.05,441100
7,"Jan 22, 2018",231.0,234.0,228.13,233.03,559500
8,"Jan 19, 2018",230.01,231.5,229.5,230.27,416000
9,"Jan 18, 2018",234.99,236.1,226.25,229.46,1373500
10,"Jan 17, 2018",227.0,228.0,223.01,227.82,464600
11,"Jan 16, 2018",220.5,227.74,220.5,225.97,347400
12,"Jan 15, 2018",223.02,223.02,219.02,221.57,379700
13,"Jan 12, 2018",223.5,225.0,221.02,224.03,550900
14,"Jan 11, 2018",226.97,226.97,221.8,224.63,688000
15,"Jan 10, 2018",218.03,225.0,218.03,224.67,3081300
16,"Jan 9, 2018",219.0,220.1,216.0,219.76,356800
17,"Jan 8, 2018",217.82,222.3,217.82,220.19,624100
18,"Jan 5, 2018",215.9,222.45,215.04,217.82,1254200
19,"Jan 4, 2018",214.2,217.25,213.5,216.16,1201000
20,"Jan 3, 2018",217.99,217.99,211.03,216.62,267400
21,"Jan 2, 2018",210.0,217.4,209.0,215.53,712000
22,"Jan 1, 2018",212.5,212.5,207.61,209.87,90600
23,"Feb 28, 2018",221.0,222.1,217.0,218.39,244700
24,"Feb 27, 2018",216.01,223.0,215.16,221.17,163600
25,"Feb 26, 2018",217.0,219.0,215.0,217.2,501300
26,"Feb 23, 2018",218.97,219.99,214.51,217.95,379000
27,"Feb 22, 2018",216.0,220.0,210.05,215.82,482600
28,"Feb 21, 2018",220.9,221.0,215.01,215.63,1596400
29,"Feb 20, 2018",221.21,221.79,217.76,219.65,444400
30,"Feb 19, 2018",222.03,225.0,221.01,222.33,185300
31,"Feb 16, 2018",220.5,223.5,220.0,222.95,1353300
32,"Feb 15, 2018",219.0,220.8,216.2,219.8,454200
33,"Feb 14, 2018",218.0,220.85,217.13,218.51,345600
34,"Feb 13, 2018",220.0,221.75,217.0,218.07,1015500
35,"Feb 12, 2018",225.91,225.91,218.05,218.43,413300
36,"Feb 9, 2018",217.01,226.3,217.0,225.71,272100
37,"Feb 8, 2018",226.0,226.0,219.0,219.91,311700
38,"Feb 7, 2018",225.0,226.89,224.11,225.35,276400
39,"Feb 6, 2018",221.01,224.5,219.35,223.1,147900
40,"Feb 2, 2018",224.94,227.79,224.0,225.95,143900
41,"Feb 1, 2018",227.0,231.0,223.0,224.04,463600
42,"Mar 30, 2018",221.21,221.99,219.15,220.13,1726800
43,"Mar 29, 2018",222.5,224.0,221.0,222.1,410800
44,"Mar 28, 2018",217.51,222.49,217.51,221.78,164300
45,"Mar 27, 2018",223.01,224.88,217.0,217.98,553900
46,"Mar 26, 2018",223.31,225.0,221.99,224.51,485300
