,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",76.9,76.99,76.9,76.9,101000
1,"Jan 30, 2018",77.11,77.35,77.11,77.25,5000
2,"Jan 29, 2018",78.25,78.27,77.3,78.26,455500
3,"Jan 26, 2018",75.0,75.0,74.55,74.55,172500
4,"Jan 25, 2018",79.0,79.0,73.1,74.25,321500
5,"Jan 24, 2018",76.0,76.01,75.99,76.0,5000
6,"Jan 23, 2018",77.0,77.0,76.83,76.83,1500
7,"Jan 22, 2018",77.0,77.01,76.0,76.83,206000
8,"Jan 19, 2018",74.74,77.5,74.74,76.67,194500
9,"Jan 18, 2018",74.4,75.0,74.0,74.71,55500
10,"Jan 17, 2018",74.0,76.0,74.0,74.26,24500
11,"Jan 16, 2018",73.5,74.8,73.0,73.56,61500
12,"Jan 15, 2018",72.11,74.01,72.1,73.42,57500
13,"Jan 12, 2018",74.45,75.5,74.4,75.18,27500
14,"Jan 11, 2018",72.0,75.6,72.0,74.27,217500
15,"Jan 10, 2018",71.0,72.5,71.0,72.0,97500
16,"Jan 9, 2018",70.25,71.02,70.25,70.92,65000
17,"Jan 8, 2018",73.5,73.5,71.51,72.0,22000
18,"Jan 5, 2018",71.8,72.0,71.0,71.5,14500
19,"Jan 3, 2018",71.5,72.65,70.0,71.55,23000
20,"Jan 2, 2018",67.0,70.56,67.0,70.56,51500
21,"Jan 1, 2018",67.0,67.69,67.0,67.2,1051500
22,"Feb 28, 2018",76.75,77.75,75.0,75.0,2500
23,"Feb 26, 2018",76.5,77.05,76.5,76.68,1500
24,"Feb 23, 2018",75.0,76.1,72.5,75.0,124000
25,"Feb 22, 2018",74.9,75.1,74.9,75.01,11000
26,"Feb 21, 2018",75.0,75.4,75.0,75.06,37500
27,"Feb 20, 2018",74.5,75.0,74.5,75.0,2000
28,"Feb 16, 2018",73.0,74.5,72.5,74.45,7000
29,"Feb 15, 2018",75.0,76.4,75.0,76.0,53000
30,"Feb 14, 2018",76.1,76.11,73.75,74.0,12500
31,"Feb 13, 2018",76.6,76.6,76.6,76.6,1000
32,"Feb 12, 2018",72.5,79.75,72.5,77.0,54500
33,"Feb 9, 2018",77.0,77.0,76.25,76.25,1500
34,"Feb 8, 2018",76.95,77.0,76.95,76.99,28000
35,"Feb 7, 2018",75.55,76.2,75.5,76.2,18000
36,"Feb 6, 2018",76.0,76.0,75.05,75.09,2500
37,"Feb 1, 2018",78.1,78.1,77.25,77.25,52500
38,"Mar 30, 2018",80.0,80.0,79.4,79.64,32500
39,"Mar 29, 2018",80.0,82.97,79.0,80.04,175000
40,"Mar 28, 2018",78.4,80.0,78.4,79.09,437000
41,"Mar 27, 2018",77.18,78.75,77.18,78.51,165000
42,"Mar 26, 2018",84.13,84.13,77.7,77.7,4000
43,"Mar 22, 2018",78.6,80.5,77.02,80.13,1135500
44,"Mar 21, 2018",77.49,78.9,77.0,78.45,289000
45,"Mar 20, 2018",76.99,79.01,76.0,76.65,666500
46,"Mar 19, 2018",76.0,76.0,75.25,75.25,4000
47,"Mar 16, 2018",75.5,76.5,75.5,76.4,46500
48,"Mar 15, 2018",76.0,76.99,76.0,76.0,2500
49,"Mar 14, 2018",76.0,76.0,75.0,75.84,106500
50,"Mar 13, 2018",75.8,76.0,75.8,76.0,1149000
51,"Mar 12, 2018",75.0,75.8,75.0,75.74,16500
52,"Mar 9, 2018",78.8,78.8,75.8,75.8,15000
53,"Mar 8, 2018",76.99,77.0,76.0,76.13,50000
54,"Mar 7, 2018",77.0,77.0,77.0,77.0,500
55,"Mar 5, 2018",77.99,78.0,77.99,78.0,1000
56,"Mar 2, 2018",77.25,77.25,76.0,76.83,1500
57,"Apr 30, 2018",79.0,79.0,78.95,79.0,69000
58,"Apr 27, 2018",77.5,79.1,77.5,79.1,202000
59,"Apr 26, 2018",78.0,78.0,78.0,78.0,1000
60,"Apr 24, 2018",78.89,79.5,78.5,78.95,125000
61,"Apr 23, 2018",76.05,78.51,76.05,78.1,17000
62,"Apr 20, 2018",77.0,78.99,77.0,78.16,5500
63,"Apr 19, 2018",78.0,78.99,76.99,78.25,62500
64,"Apr 18, 2018",78.01,78.4,77.0,78.33,29000
65,"Apr 17, 2018",80.0,80.0,78.11,79.39,21500
66,"Apr 16, 2018",77.7,78.99,77.7,78.99,5000
67,"Apr 13, 2018",76.2,78.0,76.16,77.76,13500
68,"Apr 12, 2018",77.5,77.5,76.5,77.0,16500
69,"Apr 11, 2018",78.25,78.25,77.75,77.75,3000
70,"Apr 10, 2018",78.45,78.8,78.0,78.42,1500
71,"Apr 9, 2018",77.05,77.55,77.0,77.05,51000
72,"Apr 6, 2018",79.8,79.8,78.7,79.47,256500
73,"Apr 5, 2018",79.8,79.8,78.51,79.8,147000
74,"Apr 4, 2018",80.0,80.0,78.0,78.0,201000
75,"Apr 3, 2018",78.55,78.55,78.55,78.55,250000
76,"Apr 2, 2018",78.9,80.0,78.9,79.01,12500
77,"May 31, 2018",75.0,75.0,74.0,74.99,28500
78,"May 29, 2018",73.85,75.0,73.85,74.5,21500
79,"May 28, 2018",76.95,77.0,72.0,72.17,347000
80,"May 25, 2018",73.02,75.0,73.0,73.46,6500
81,"May 23, 2018",75.5,75.9,75.0,75.9,12000
82,"May 22, 2018",73.89,74.49,73.0,74.49,3000
83,"May 21, 2018",76.25,76.25,73.0,73.0,68000
84,"May 17, 2018",76.95,77.45,73.95,74.03,38500
85,"May 16, 2018",72.5,75.0,72.5,73.97,157000
86,"May 15, 2018",72.11,73.95,72.0,72.7,285500
87,"May 14, 2018",77.0,77.1,74.5,74.66,155000
88,"May 11, 2018",75.51,79.75,75.51,77.01,19500
89,"May 10, 2018",78.5,78.5,78.25,78.28,25500
90,"May 9, 2018",78.0,82.5,78.0,80.18,6500
91,"May 8, 2018",82.95,82.95,78.0,79.8,9500
92,"May 7, 2018",78.99,79.0,78.99,79.0,6500
93,"May 2, 2018",79.0,79.0,78.21,79.0,136000
94,"Jun 29, 2018",81.5,82.01,81.5,81.72,1210500
95,"Jun 28, 2018",81.95,82.1,80.55,81.78,586000
96,"Jun 27, 2018",81.0,82.5,81.0,82.0,1820000
97,"Jun 26, 2018",80.64,81.25,80.25,81.0,2763500
98,"Jun 25, 2018",81.0,82.8,80.0,80.14,155000
99,"Jun 22, 2018",81.0,81.49,79.51,80.01,6660000
100,"Jun 21, 2018",82.0,83.81,79.65,80.48,8944500
101,"Jun 20, 2018",88.0,91.75,83.05,83.84,1681500
102,"Jun 19, 2018",89.0,90.0,86.55,87.39,2967000
103,"Jun 14, 2018",84.5,86.07,84.25,86.07,3320500
104,"Jun 13, 2018",81.98,81.98,79.74,81.98,7638000
105,"Jun 12, 2018",77.0,78.25,76.99,78.08,240500
106,"Jun 11, 2018",76.5,79.73,76.5,77.0,54500
107,"Jun 7, 2018",79.0,79.0,76.0,76.5,31500
108,"Jun 6, 2018",75.61,78.75,75.61,78.01,69000
109,"Jun 5, 2018",73.16,76.07,73.0,75.61,230000
110,"Jun 4, 2018",72.45,72.45,72.45,72.45,3000
111,"Jun 1, 2018",75.0,75.0,74.0,74.5,17000
112,"Jul 31, 2018",92.0,92.0,89.7,89.94,19500
113,"Jul 30, 2018",91.25,91.85,90.51,91.5,1985000
114,"Jul 27, 2018",91.0,92.0,90.0,91.31,86000
115,"Jul 26, 2018",92.0,92.0,90.75,90.97,8500
116,"Jul 24, 2018",92.9,92.9,91.0,92.0,379000
117,"Jul 23, 2018",91.0,91.1,90.0,91.01,407500
118,"Jul 20, 2018",90.0,91.0,89.1,91.0,31000
119,"Jul 19, 2018",92.99,93.0,86.25,91.47,149500
120,"Jul 18, 2018",91.5,91.5,88.06,89.68,43500
121,"Jul 17, 2018",90.0,90.99,89.0,89.92,29500
122,"Jul 16, 2018",93.9,93.9,88.0,89.69,261500
123,"Jul 13, 2018",88.0,91.81,88.0,91.81,2192000
124,"Jul 12, 2018",84.95,87.67,84.61,87.44,967500
125,"Jul 11, 2018",81.5,84.25,81.5,83.5,86000
126,"Jul 10, 2018",80.0,81.5,80.0,81.5,80000
127,"Jul 9, 2018",81.01,81.01,80.0,80.5,169500
128,"Jul 6, 2018",81.99,83.0,81.99,82.5,28500
129,"Jul 5, 2018",82.5,82.5,81.5,82.0,64500
130,"Jul 4, 2018",82.0,82.0,81.51,82.0,138500
131,"Jul 3, 2018",85.8,85.8,82.0,82.5,63500
132,"Jul 2, 2018",81.5,81.72,81.5,81.72,9000
133,"Aug 31, 2018",93.5,93.65,91.15,93.65,181000
134,"Aug 30, 2018",93.3,97.0,92.05,93.0,638500
135,"Aug 29, 2018",94.5,95.0,93.0,94.12,448500
136,"Aug 28, 2018",96.99,96.99,92.8,93.0,268000
137,"Aug 27, 2018",93.1,94.84,93.02,93.1,551000
138,"Aug 24, 2018",92.5,93.05,92.5,93.0,1322500
139,"Aug 20, 2018",92.5,92.8,92.5,92.5,25000
140,"Aug 17, 2018",90.5,93.5,90.5,92.75,127500
141,"Aug 16, 2018",91.0,91.0,90.0,90.3,5500
142,"Aug 15, 2018",91.0,91.0,90.0,90.5,827000
143,"Aug 13, 2018",90.5,91.25,90.0,90.44,404000
144,"Aug 10, 2018",90.06,91.25,90.06,91.23,132500
145,"Aug 9, 2018",91.02,91.7,91.0,91.0,94500
146,"Aug 8, 2018",91.0,92.5,91.0,91.63,66000
147,"Aug 7, 2018",92.0,92.0,91.0,91.0,205500
148,"Aug 6, 2018",91.0,91.0,90.86,91.0,119000
149,"Aug 3, 2018",90.0,91.0,88.05,90.86,35000
150,"Aug 2, 2018",90.0,90.0,89.25,90.0,581000
151,"Aug 1, 2018",88.09,90.0,88.0,89.67,536500
152,"Sep 28, 2018",89.0,91.0,87.25,89.18,203500
153,"Sep 27, 2018",86.79,90.0,86.79,88.82,232000
154,"Sep 26, 2018",88.0,88.0,86.0,86.03,33000
155,"Sep 25, 2018",87.0,89.95,87.0,89.95,1000
156,"Sep 24, 2018",90.0,90.0,87.0,87.0,3000
157,"Sep 19, 2018",87.9,87.95,86.96,86.96,3000
158,"Sep 18, 2018",86.95,86.95,83.99,84.0,39500
159,"Sep 17, 2018",95.85,95.9,93.0,93.0,15500
160,"Sep 14, 2018",94.25,95.5,94.25,95.15,30000
161,"Sep 13, 2018",95.9,95.9,94.0,94.5,30000
162,"Sep 12, 2018",93.5,94.0,93.3,94.0,106000
163,"Sep 11, 2018",92.3,93.9,92.0,93.0,850000
164,"Sep 10, 2018",92.5,92.5,91.2,92.22,106000
165,"Sep 7, 2018",95.67,97.65,92.0,92.1,127000
166,"Sep 6, 2018",92.5,93.0,92.5,93.0,285000
167,"Sep 5, 2018",92.99,93.0,92.0,92.6,128500
168,"Sep 4, 2018",92.2,93.02,91.51,92.81,87500
169,"Sep 3, 2018",92.1,93.0,91.7,92.99,133000
170,"Oct 31, 2018",98.0,99.9,97.4,99.26,182000
171,"Oct 30, 2018",96.0,100.0,96.0,98.96,335500
172,"Oct 29, 2018",97.4,98.0,93.34,97.5,1173000
173,"Oct 26, 2018",94.01,97.0,91.3,96.36,237500
174,"Oct 25, 2018",97.9,97.9,95.01,95.96,257500
175,"Oct 24, 2018",96.45,96.5,93.15,95.48,1449500
176,"Oct 23, 2018",93.11,95.0,93.05,94.01,185000
177,"Oct 22, 2018",95.55,95.55,92.5,95.0,37000
178,"Oct 19, 2018",95.5,96.0,94.75,95.5,1018500
179,"Oct 18, 2018",91.99,94.9,91.5,94.06,312500
180,"Oct 17, 2018",90.5,92.9,90.5,91.95,252000
181,"Oct 16, 2018",92.0,92.0,90.1,90.25,133000
182,"Oct 15, 2018",92.0,92.0,90.0,91.92,271500
183,"Oct 12, 2018",90.95,92.0,90.95,92.0,313000
184,"Oct 11, 2018",89.11,92.0,89.11,91.06,8507500
185,"Oct 10, 2018",94.0,94.0,90.01,90.63,109500
186,"Oct 9, 2018",89.95,92.0,89.0,91.28,564500
187,"Oct 8, 2018",88.2,90.0,85.7,88.13,697500
188,"Oct 5, 2018",89.02,90.78,89.0,90.15,328500
189,"Oct 4, 2018",90.0,91.0,90.0,90.54,590000
190,"Oct 3, 2018",90.01,90.01,89.95,89.95,9000
191,"Oct 2, 2018",91.45,91.5,90.8,91.0,263500
192,"Oct 1, 2018",88.15,91.5,88.1,91.5,16000
193,"Nov 30, 2018",93.11,98.39,93.0,96.29,1753500
194,"Nov 29, 2018",93.0,94.0,93.0,93.71,64500
195,"Nov 28, 2018",93.05,94.0,93.0,93.01,132500
196,"Nov 27, 2018",93.0,93.85,92.6,92.74,139000
197,"Nov 26, 2018",93.9,93.9,92.0,92.0,61000
198,"Nov 23, 2018",94.0,94.0,93.01,93.13,12000
199,"Nov 22, 2018",94.98,95.0,93.97,94.0,182000
200,"Nov 20, 2018",94.5,95.35,94.5,95.04,316500
201,"Nov 19, 2018",94.5,94.99,94.5,94.5,147000
202,"Nov 16, 2018",94.85,94.95,93.0,94.21,1371000
203,"Nov 15, 2018",95.95,95.95,89.67,93.21,23500
204,"Nov 14, 2018",93.99,96.0,92.7,94.38,3383500
205,"Nov 13, 2018",95.95,95.95,93.75,93.99,133000
206,"Nov 12, 2018",97.8,97.8,94.99,95.4,61500
207,"Nov 9, 2018",94.5,96.95,94.05,96.01,242500
208,"Nov 8, 2018",96.75,96.75,92.6,94.71,25000
209,"Nov 7, 2018",97.45,97.96,92.6,96.2,304500
210,"Nov 6, 2018",98.0,99.0,95.1,96.46,164000
211,"Nov 5, 2018",96.56,98.7,96.5,97.42,31000
212,"Nov 2, 2018",97.25,100.0,97.25,98.99,307000
213,"Nov 1, 2018",99.89,100.0,97.15,98.21,170000
214,"Dec 31, 2018",88.01,94.0,87.01,92.39,3077500
215,"Dec 28, 2018",86.8,91.96,85.5,90.48,4116500
216,"Dec 27, 2018",84.0,87.82,84.0,87.59,2936500
217,"Dec 26, 2018",88.98,87.95,81.8,83.64,2266000
218,"Dec 24, 2018",89.0,89.0,85.0,86.06,4874000
219,"Dec 21, 2018",84.0,88.5,83.25,85.54,325500
220,"Dec 20, 2018",86.49,86.49,83.32,84.77,1198500
221,"Dec 19, 2018",88.22,88.99,84.0,85.16,162000
222,"Dec 18, 2018",89.0,89.75,87.51,88.36,144500
223,"Dec 17, 2018",91.0,91.0,87.06,89.17,33000
224,"Dec 14, 2018",89.0,92.0,86.5,90.17,196500
225,"Dec 13, 2018",90.0,91.9,86.62,89.72,291500
226,"Dec 12, 2018",92.0,93.0,89.27,90.17,679000
227,"Dec 11, 2018",94.0,95.09,91.51,93.96,163500
228,"Dec 10, 2018",96.0,97.5,91.2,95.09,843500
229,"Dec 7, 2018",95.85,98.0,93.0,95.42,885000
230,"Dec 6, 2018",97.25,98.76,94.65,95.85,539500
231,"Dec 5, 2018",101.2,101.2,95.46,99.6,53500
232,"Dec 4, 2018",100.95,100.95,98.35,99.22,201500
233,"Dec 3, 2018",99.95,99.99,93.6,98.25,732000
234,"Jan 31, 2019",86.5,91.0,86.5,88.79,544500
235,"Jan 30, 2019",91.9,92.9,90.0,90.0,25000
236,"Jan 29, 2019",89.25,91.0,88.9,90.17,83000
237,"Jan 28, 2019",89.3,89.5,89.3,89.49,68500
238,"Jan 25, 2019",89.99,90.0,89.25,89.25,34500
239,"Jan 24, 2019",93.0,93.0,89.5,89.8,532500
240,"Jan 23, 2019",89.49,90.0,88.75,89.0,244500
241,"Jan 22, 2019",88.0,88.5,88.0,88.49,143500
242,"Jan 21, 2019",88.1,88.95,88.1,88.23,192000
243,"Jan 18, 2019",88.85,89.05,88.0,88.03,120500
244,"Jan 17, 2019",88.5,89.0,88.0,88.83,755500
245,"Jan 16, 2019",89.0,89.0,88.5,88.5,4000
246,"Jan 15, 2019",89.79,90.0,89.0,89.03,239500
247,"Jan 14, 2019",89.3,89.85,88.95,89.01,105500
248,"Jan 11, 2019",89.5,90.99,88.5,88.7,269000
249,"Jan 10, 2019",88.98,90.0,88.98,89.89,35500
250,"Jan 9, 2019",89.5,90.0,89.0,90.0,70000
251,"Jan 8, 2019",88.25,90.0,88.2,89.47,72500
252,"Jan 7, 2019",90.0,92.49,88.15,88.92,242500
253,"Jan 4, 2019",88.51,89.0,87.9,88.52,199000
254,"Jan 3, 2019",89.0,90.0,87.75,89.71,89500
255,"Jan 2, 2019",88.0,90.99,87.51,88.82,275000
256,"Jan 1, 2019",92.5,92.5,88.6,88.81,461500
257,"Feb 28, 2019",95.49,97.0,93.25,96.08,185000
258,"Feb 27, 2019",89.25,94.0,89.25,93.98,345500
259,"Feb 26, 2019",92.01,94.0,90.51,92.41,243500
260,"Feb 25, 2019",94.89,95.0,93.55,93.58,9500
261,"Feb 22, 2019",92.11,94.99,92.1,94.45,371000
262,"Feb 21, 2019",95.0,95.0,91.0,92.99,4461000
263,"Feb 20, 2019",96.0,96.0,91.42,91.98,419500
264,"Feb 19, 2019",94.0,94.0,92.99,92.99,340000
265,"Feb 18, 2019",93.5,94.0,93.4,93.93,110000
266,"Feb 15, 2019",94.3,94.3,93.8,93.98,36500
267,"Feb 14, 2019",93.21,94.0,93.2,93.94,21000
268,"Feb 13, 2019",94.45,94.5,93.25,94.0,142500
269,"Feb 12, 2019",90.8,94.0,90.8,93.92,65000
270,"Feb 11, 2019",93.99,93.99,91.77,92.07,255500
271,"Feb 8, 2019",95.5,96.0,93.51,94.45,797000
272,"Feb 7, 2019",94.0,96.5,94.0,95.71,310000
273,"Feb 6, 2019",95.66,97.1,95.0,95.0,277500
