,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",82.89,82.9,81.25,81.91,1143000
1,"Jan 30, 2018",82.75,83.65,81.7,82.34,215000
2,"Jan 29, 2018",86.1,86.1,82.35,82.59,1283500
3,"Jan 26, 2018",84.7,88.0,83.51,86.68,1737500
4,"Jan 25, 2018",87.5,87.5,84.1,85.03,374000
5,"Jan 24, 2018",87.4,89.0,86.5,87.4,1431500
6,"Jan 23, 2018",87.9,90.85,85.5,86.65,1067000
7,"Jan 22, 2018",83.1,87.16,82.1,87.16,994500
8,"Jan 19, 2018",81.3,84.0,81.3,83.01,3048000
9,"Jan 18, 2018",79.5,81.44,78.65,80.49,744000
10,"Jan 17, 2018",79.15,79.74,77.05,79.5,567500
11,"Jan 16, 2018",78.5,80.75,78.06,78.53,861000
12,"Jan 15, 2018",78.99,79.98,78.07,78.34,215000
13,"Jan 12, 2018",82.49,82.49,78.5,79.23,783500
14,"Jan 11, 2018",80.43,83.3,79.0,81.02,2453500
15,"Jan 10, 2018",76.5,80.0,76.5,79.88,2002000
16,"Jan 9, 2018",77.22,77.22,75.0,76.39,1312000
17,"Jan 8, 2018",77.59,78.94,76.2,77.22,2064500
18,"Jan 5, 2018",73.5,77.13,73.46,77.01,2774000
19,"Jan 4, 2018",71.11,73.7,71.11,73.46,2289500
20,"Jan 3, 2018",70.3,71.65,69.11,71.35,2849500
21,"Jan 2, 2018",67.9,71.2,67.4,70.3,2634500
22,"Jan 1, 2018",68.44,68.5,67.05,67.98,242500
23,"Feb 28, 2018",67.0,67.9,66.99,67.5,520500
24,"Feb 27, 2018",65.5,67.39,65.4,66.74,988000
25,"Feb 26, 2018",66.0,66.39,64.82,65.27,454500
26,"Feb 23, 2018",65.6,66.95,64.6,65.07,2823500
27,"Feb 22, 2018",62.0,65.56,61.5,65.32,4687500
28,"Feb 21, 2018",67.05,67.5,63.11,63.39,6223500
29,"Feb 20, 2018",69.49,69.49,65.62,66.39,2117500
30,"Feb 19, 2018",69.6,70.38,68.61,69.07,748500
31,"Feb 16, 2018",72.1,72.1,69.0,69.76,835500
32,"Feb 15, 2018",74.1,75.5,70.81,71.61,431000
33,"Feb 14, 2018",76.15,76.74,73.4,74.07,512000
34,"Feb 13, 2018",76.9,79.25,75.61,76.12,446000
35,"Feb 12, 2018",77.0,77.5,75.02,75.48,459500
36,"Feb 9, 2018",76.0,77.28,75.2,76.09,1141500
37,"Feb 8, 2018",79.13,79.5,75.51,76.84,1219000
38,"Feb 7, 2018",79.4,80.24,78.2,79.13,239000
39,"Feb 6, 2018",78.56,79.01,77.16,78.75,429500
40,"Feb 2, 2018",81.0,81.2,79.05,79.61,690500
41,"Feb 1, 2018",82.9,82.9,80.5,80.92,2323500
42,"Mar 30, 2018",71.9,72.0,70.55,70.83,641000
43,"Mar 29, 2018",72.4,72.9,71.8,72.2,946000
44,"Mar 28, 2018",72.5,72.5,71.55,72.09,1017500
45,"Mar 27, 2018",72.0,73.3,71.15,71.67,754000
46,"Mar 26, 2018",72.59,72.59,71.52,71.91,321000
47,"Mar 22, 2018",71.25,72.7,70.69,71.84,742000
48,"Mar 21, 2018",70.66,71.32,70.58,71.0,650000
49,"Mar 20, 2018",70.2,71.73,69.77,70.66,2639000
50,"Mar 19, 2018",70.55,71.01,69.45,69.91,819500
51,"Mar 16, 2018",71.41,71.5,70.5,70.55,122000
52,"Mar 15, 2018",71.15,72.0,71.0,71.78,279500
53,"Mar 14, 2018",71.6,72.4,70.5,71.39,419000
54,"Mar 13, 2018",72.5,73.0,71.5,71.78,410000
55,"Mar 12, 2018",70.55,72.49,70.28,72.29,416500
56,"Mar 9, 2018",73.51,74.41,71.2,71.93,625000
57,"Mar 8, 2018",72.75,74.05,70.5,73.31,1514500
58,"Mar 7, 2018",76.9,76.9,72.98,73.25,781000
59,"Mar 6, 2018",76.9,78.75,76.1,76.42,1147000
60,"Mar 5, 2018",75.45,76.9,73.59,76.1,2147000
61,"Mar 2, 2018",72.0,74.41,72.0,74.41,1533500
62,"Mar 1, 2018",67.52,70.87,67.51,70.87,3095500
63,"Apr 30, 2018",69.08,70.46,68.1,69.16,519500
64,"Apr 27, 2018",71.11,71.11,69.5,69.67,305000
65,"Apr 26, 2018",71.0,71.5,70.6,71.26,255000
66,"Apr 25, 2018",72.5,73.99,71.51,71.73,204000
67,"Apr 24, 2018",73.0,74.5,72.8,73.4,400500
68,"Apr 23, 2018",72.07,73.7,71.15,73.01,214500
69,"Apr 20, 2018",72.9,73.75,72.3,72.66,63500
70,"Apr 19, 2018",75.25,75.3,72.0,72.65,260500
71,"Apr 18, 2018",75.8,77.45,74.75,75.14,508500
72,"Apr 17, 2018",74.21,76.7,74.1,75.79,343000
73,"Apr 16, 2018",76.68,76.7,74.25,74.82,241500
74,"Apr 13, 2018",77.05,77.8,75.9,76.01,583000
75,"Apr 12, 2018",77.5,78.0,77.15,77.7,165500
76,"Apr 11, 2018",77.7,78.5,77.5,77.79,298000
77,"Apr 10, 2018",78.5,78.99,77.15,78.45,286500
78,"Apr 9, 2018",79.99,80.4,78.3,78.55,333000
79,"Apr 6, 2018",79.25,80.25,78.1,79.06,9859500
80,"Apr 5, 2018",76.5,79.25,76.5,78.54,6221500
81,"Apr 4, 2018",76.5,77.76,76.05,77.02,4615000
82,"Apr 3, 2018",74.88,76.8,74.5,76.22,3477000
83,"Apr 2, 2018",71.85,74.37,71.85,74.37,1660000
84,"May 31, 2018",65.5,66.5,64.05,64.41,501000
85,"May 30, 2018",66.3,66.3,65.25,65.82,245500
86,"May 29, 2018",64.5,66.5,64.5,65.99,2014000
87,"May 28, 2018",66.0,68.4,64.0,65.01,744000
88,"May 25, 2018",67.0,67.79,66.25,66.54,177000
89,"May 24, 2018",67.5,68.5,66.01,67.23,254500
90,"May 23, 2018",67.5,67.95,66.12,67.33,704000
91,"May 22, 2018",66.0,67.71,64.5,67.04,247500
92,"May 21, 2018",63.9,65.5,63.7,64.51,199500
93,"May 18, 2018",62.5,64.0,62.5,63.54,508000
94,"May 17, 2018",63.56,65.84,63.01,63.59,82500
95,"May 16, 2018",67.25,67.4,65.49,65.67,488500
96,"May 15, 2018",63.26,67.51,62.75,66.79,2436500
97,"May 14, 2018",64.12,65.15,63.2,64.3,681500
98,"May 11, 2018",66.76,69.61,65.66,66.02,3076000
99,"May 10, 2018",63.0,66.3,62.0,66.3,1397500
100,"May 9, 2018",65.66,66.8,62.78,63.15,2390500
101,"May 8, 2018",66.55,67.0,65.6,66.08,422500
102,"May 7, 2018",68.0,68.31,66.21,67.02,381500
103,"May 4, 2018",67.99,68.3,66.5,67.99,264000
104,"May 3, 2018",69.0,69.24,65.36,67.35,277500
105,"May 2, 2018",69.16,69.9,68.5,68.79,245500
106,"Jun 29, 2018",53.39,54.35,50.11,50.74,1755500
107,"Jun 28, 2018",50.51,52.76,49.36,52.72,3284500
108,"Jun 27, 2018",48.39,50.26,47.65,50.25,2134000
109,"Jun 26, 2018",48.7,50.7,47.2,47.87,2186000
110,"Jun 25, 2018",51.27,51.9,49.0,49.0,1535500
111,"Jun 22, 2018",54.35,55.25,51.5,51.57,2078500
112,"Jun 21, 2018",56.02,56.1,54.2,54.21,8762500
113,"Jun 20, 2018",58.8,58.9,56.8,57.05,429000
114,"Jun 19, 2018",59.4,60.5,57.6,58.92,575500
115,"Jun 14, 2018",59.01,59.85,58.51,58.94,424500
116,"Jun 13, 2018",57.51,60.2,57.5,58.82,387500
117,"Jun 12, 2018",62.49,62.49,58.75,58.89,349500
118,"Jun 11, 2018",64.35,64.9,61.6,61.8,690500
119,"Jun 7, 2018",65.7,65.87,64.6,64.76,810000
120,"Jun 6, 2018",65.01,65.86,64.55,65.35,376000
121,"Jun 5, 2018",64.5,67.5,64.5,65.19,2557000
122,"Jun 4, 2018",64.25,65.5,64.02,65.02,268000
123,"Jun 1, 2018",64.01,64.99,63.5,64.51,46000
