,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",165.70,171.89,165.70,169.99,754000.0
1,"Jan 30, 2018",166.10,168.00,165.15,166.59,163000.0
2,"Jan 29, 2018",168.70,168.70,165.00,166.04,241800.0
3,"Jan 26, 2018",168.90,170.87,167.25,168.75,516600.0
4,"Jan 25, 2018",172.00,173.00,167.62,169.89,206800.0
5,"Jan 24, 2018",169.80,172.00,169.49,171.56,929400.0
6,"Jan 23, 2018",168.90,170.50,167.00,168.75,724600.0
7,"Jan 22, 2018",168.40,169.90,165.50,168.07,820400.0
8,"Jan 19, 2018",165.60,168.50,164.75,167.65,743500.0
9,"Jan 18, 2018",170.00,172.40,162.55,164.83,2393100.0
10,"Jan 17, 2018",163.88,169.50,162.06,168.72,2000900.0
11,"Jan 16, 2018",162.01,164.00,161.30,163.23,640800.0
12,"Jan 15, 2018",161.50,164.00,158.20,161.97,519900.0
13,"Jan 12, 2018",161.00,162.50,159.10,161.49,660000.0
14,"Jan 11, 2018",165.00,166.49,160.02,161.11,734300.0
15,"Jan 10, 2018",166.10,166.89,164.02,164.86,919100.0
16,"Jan 9, 2018",161.49,166.80,160.00,165.76,2338000.0
17,"Jan 8, 2018",158.50,162.80,158.50,160.94,1531400.0
18,"Jan 5, 2018",154.00,159.20,154.00,157.91,1656000.0
19,"Jan 4, 2018",153.00,155.80,153.00,154.77,474700.0
20,"Jan 3, 2018",155.00,156.85,152.00,155.16,1355500.0
21,"Jan 2, 2018",149.50,156.00,149.50,154.36,1114800.0
22,"Jan 1, 2018",149.20,152.00,148.05,151.38,336600.0
23,"Feb 28, 2018",157.25,160.46,156.11,159.55,1071500.0
24,"Feb 27, 2018",158.50,158.00,153.00,156.79,1440200.0
25,"Feb 26, 2018",162.10,162.49,157.22,157.92,329400.0
26,"Feb 23, 2018",160.00,164.75,158.06,161.72,984600.0
27,"Feb 22, 2018",158.01,161.20,154.99,160.79,279500.0
28,"Feb 21, 2018",165.00,165.00,157.71,158.30,501800.0
29,"Feb 20, 2018",161.01,162.50,156.70,158.74,1001800.0
30,"Feb 19, 2018",163.50,164.89,161.05,161.73,114000.0
31,"Feb 16, 2018",155.50,164.89,155.50,161.38,60600.0
32,"Feb 15, 2018",162.50,162.75,157.52,158.12,328100.0
33,"Feb 14, 2018",165.85,166.00,161.08,162.85,221800.0
34,"Feb 13, 2018",166.50,167.60,165.55,166.14,55900.0
35,"Feb 12, 2018",169.70,169.90,166.25,166.94,177200.0
36,"Feb 9, 2018",167.01,169.49,166.30,168.71,136000.0
37,"Feb 8, 2018",170.40,171.60,167.56,168.55,142600.0
38,"Feb 7, 2018",170.99,174.20,169.50,170.40,662000.0
39,"Feb 6, 2018",168.01,169.78,166.16,169.43,60500.0
40,"Feb 2, 2018",171.02,172.80,170.00,170.72,403900.0
41,"Feb 1, 2018",170.94,172.50,169.90,170.42,462000.0
42,"Mar 30, 2018",159.00,160.75,157.55,158.89,1641400.0
43,"Mar 29, 2018",159.66,159.66,158.30,158.81,685800.0
44,"Mar 28, 2018",159.50,160.40,158.35,158.86,1161100.0
45,"Mar 27, 2018",162.00,162.00,158.00,158.35,973500.0
46,"Mar 26, 2018",162.25,162.25,158.50,161.02,300000.0
47,"Mar 22, 2018",161.50,162.25,159.51,162.06,263100.0
48,"Mar 21, 2018",162.45,164.45,160.02,160.44,434300.0
49,"Mar 20, 2018",154.49,161.45,154.00,161.41,1471100.0
50,"Mar 19, 2018",153.50,154.50,153.20,153.77,35100.0
51,"Mar 16, 2018",155.95,156.00,152.00,153.12,405100.0
52,"Mar 15, 2018",156.40,156.40,155.02,155.47,356000.0
53,"Mar 14, 2018",159.21,159.25,155.01,156.14,398900.0
54,"Mar 13, 2018",157.52,159.95,157.50,159.34,258600.0
55,"Mar 12, 2018",154.05,158.00,154.05,157.47,66300.0
56,"Mar 9, 2018",156.50,156.80,154.75,155.26,75500.0
57,"Mar 8, 2018",158.90,158.95,155.27,155.62,621700.0
58,"Mar 7, 2018",157.10,158.97,156.40,158.53,59600.0
59,"Mar 6, 2018",159.50,159.70,157.00,157.62,109300.0
60,"Mar 5, 2018",159.98,160.50,158.00,158.67,199700.0
61,"Mar 2, 2018",158.56,160.47,158.50,160.00,81100.0
62,"Mar 1, 2018",161.00,162.00,158.00,159.19,464100.0
63,"Apr 30, 2018",151.97,153.60,145.00,146.02,1434200.0
64,"Apr 27, 2018",156.50,158.95,149.60,151.17,2829600.0
65,"Apr 26, 2018",158.50,160.00,156.85,157.40,678600.0
66,"Apr 25, 2018",159.30,159.40,158.00,158.07,162800.0
67,"Apr 24, 2018",157.97,160.00,157.97,159.33,898400.0
68,"Apr 23, 2018",156.01,158.45,155.60,157.63,190500.0
69,"Apr 20, 2018",158.31,160.40,156.25,156.59,182600.0
70,"Apr 19, 2018",158.60,159.48,157.15,158.50,366800.0
71,"Apr 18, 2018",159.97,161.00,157.56,158.88,277300.0
72,"Apr 17, 2018",159.97,160.90,158.01,159.50,419300.0
73,"Apr 16, 2018",159.98,160.48,158.25,158.66,159700.0
74,"Apr 13, 2018",162.00,162.00,159.10,159.81,235300.0
75,"Apr 12, 2018",162.50,162.79,161.50,162.16,398000.0
76,"Apr 11, 2018",160.80,163.25,160.50,162.50,1254100.0
