,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",166.5,167.4,164.05,164.59,3743300
1,"Jan 30, 2018",168.0,168.25,167.0,167.31,453300
2,"Jan 29, 2018",170.51,170.99,167.5,168.13,753200
3,"Jan 26, 2018",169.72,171.25,167.99,170.84,672000
4,"Jan 25, 2018",173.5,174.0,169.0,169.47,3041300
5,"Jan 24, 2018",175.05,177.0,169.25,171.55,5267400
6,"Jan 23, 2018",171.76,174.0,171.0,173.84,1775200
7,"Jan 22, 2018",169.75,172.9,169.0,171.59,2435800
8,"Jan 19, 2018",172.01,172.01,168.92,169.14,1237800
9,"Jan 18, 2018",172.25,174.99,170.01,171.83,1672300
10,"Jan 17, 2018",171.9,172.74,169.51,171.81,921100
11,"Jan 16, 2018",168.4,172.35,168.4,171.62,1761200
12,"Jan 15, 2018",167.3,169.5,167.2,167.9,1051700
13,"Jan 12, 2018",169.5,170.9,166.6,167.27,1421000
14,"Jan 11, 2018",171.3,171.5,168.8,169.67,1029800
15,"Jan 10, 2018",171.2,172.5,170.15,171.27,2555700
16,"Jan 9, 2018",171.89,171.89,169.0,169.92,1745200
17,"Jan 8, 2018",170.5,173.0,169.0,171.7,2358800
18,"Jan 5, 2018",170.0,170.67,168.5,170.05,1305600
19,"Jan 4, 2018",170.02,171.49,169.5,170.16,3482000
20,"Jan 3, 2018",166.9,168.75,165.51,168.23,2468000
21,"Jan 2, 2018",162.1,168.25,162.01,165.82,2658800
22,"Jan 1, 2018",163.0,163.4,161.55,162.2,279900
23,"Feb 28, 2018",162.1,163.97,161.01,163.22,731300
24,"Feb 27, 2018",161.99,162.95,160.5,162.31,526000
25,"Feb 26, 2018",165.3,166.5,161.51,161.92,1387300
26,"Feb 23, 2018",166.01,166.98,163.25,164.34,858800
27,"Feb 22, 2018",162.76,166.1,161.25,165.39,1320500
28,"Feb 21, 2018",166.85,167.69,163.31,163.75,2811600
29,"Feb 20, 2018",166.9,167.0,163.8,166.9,4433900
30,"Feb 19, 2018",167.98,169.3,166.25,167.22,781600
31,"Feb 16, 2018",166.8,168.0,165.03,167.55,951600
32,"Feb 15, 2018",166.25,166.8,165.01,165.51,786400
