,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",61.26,61.55,60.52,60.72,3228500
1,"Jan 30, 2018",60.0,61.7,59.85,61.17,6756000
2,"Jan 29, 2018",60.3,60.87,59.51,60.05,4308000
3,"Jan 26, 2018",61.6,61.75,60.0,60.78,5121500
4,"Jan 25, 2018",59.75,62.0,59.7,61.61,6748500
5,"Jan 24, 2018",62.24,63.0,59.5,59.93,11758000
6,"Jan 23, 2018",60.75,62.3,58.75,61.85,12364000
7,"Jan 22, 2018",58.54,60.75,58.45,60.5,15078000
8,"Jan 19, 2018",55.94,58.09,55.3,57.86,7861500
9,"Jan 18, 2018",57.0,57.89,54.35,55.33,9123000
10,"Jan 17, 2018",54.5,56.24,54.1,55.84,3883500
11,"Jan 16, 2018",53.89,55.5,53.75,54.47,4206000
12,"Jan 15, 2018",54.51,54.88,52.92,53.26,5419500
13,"Jan 12, 2018",58.0,58.0,55.12,55.21,6397000
14,"Jan 11, 2018",57.2,58.96,56.41,58.02,15976500
15,"Jan 10, 2018",54.47,56.61,54.3,56.61,10328000
16,"Jan 9, 2018",52.0,54.27,50.61,53.92,16017500
17,"Jan 8, 2018",52.69,53.2,51.25,51.69,9793500
18,"Jan 5, 2018",50.5,52.75,50.45,52.34,7004500
19,"Jan 4, 2018",49.54,51.5,49.02,50.84,6195000
20,"Jan 3, 2018",50.59,50.85,49.1,49.54,4659500
21,"Jan 2, 2018",50.09,51.6,49.3,50.35,8819500
22,"Jan 1, 2018",47.15,49.86,46.25,49.86,3595500
23,"Feb 28, 2018",49.4,49.55,48.61,48.87,4079500
24,"Feb 27, 2018",47.17,50.0,47.17,48.63,14826000
25,"Feb 26, 2018",49.65,49.65,49.65,49.65,180000
26,"Feb 23, 2018",55.5,56.15,52.26,52.26,7466500
27,"Feb 22, 2018",53.21,55.5,52.76,55.01,4030000
28,"Feb 21, 2018",55.51,55.8,54.3,54.59,2643500
29,"Feb 20, 2018",54.6,54.85,53.35,54.36,3981500
30,"Feb 19, 2018",54.81,55.79,54.5,54.66,1694000
31,"Feb 16, 2018",53.7,55.01,53.5,54.85,1616000
32,"Feb 15, 2018",55.1,56.2,53.35,53.81,5002000
33,"Feb 14, 2018",57.71,57.97,55.5,55.84,4098000
34,"Feb 13, 2018",57.6,59.1,57.5,57.82,4088000
35,"Feb 12, 2018",57.79,58.1,57.1,57.4,1522500
36,"Feb 9, 2018",57.49,58.25,57.1,57.77,2222000
37,"Feb 8, 2018",58.25,58.8,57.6,57.94,4720500
38,"Feb 7, 2018",60.0,60.0,57.85,58.24,5572500
39,"Feb 6, 2018",58.98,59.1,57.01,58.39,4330000
40,"Feb 2, 2018",59.6,60.7,59.35,59.77,4996000
41,"Feb 1, 2018",61.03,61.35,59.55,59.75,4613000
42,"Mar 30, 2018",46.77,47.25,44.87,45.21,8677000
43,"Mar 29, 2018",47.5,47.89,46.9,47.07,5345000
44,"Mar 28, 2018",45.72,48.14,45.61,47.56,17503000
45,"Mar 27, 2018",45.83,46.67,45.65,45.85,4732500
