,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",75.7,76.3,74.5,75.43,885500
1,"Jan 30, 2018",76.54,76.54,73.16,74.81,459500
2,"Jan 29, 2018",77.0,77.0,73.65,74.51,242500
3,"Jan 26, 2018",77.8,78.5,75.55,77.26,432500
4,"Jan 25, 2018",79.0,79.0,76.0,77.95,239000
5,"Jan 24, 2018",80.0,80.0,78.0,79.3,1585000
6,"Jan 23, 2018",74.5,76.98,74.49,76.96,3578000
7,"Jan 22, 2018",69.85,73.32,69.6,73.32,380000
8,"Jan 19, 2018",68.02,70.5,67.55,69.83,429500
9,"Jan 18, 2018",68.0,69.5,66.0,67.68,246500
10,"Jan 17, 2018",66.0,67.26,66.0,66.67,209000
11,"Jan 16, 2018",65.0,67.22,65.0,66.89,1087500
12,"Jan 15, 2018",65.0,65.89,63.5,64.02,103000
13,"Jan 12, 2018",68.55,68.94,65.98,66.41,488000
14,"Jan 11, 2018",71.5,72.0,68.71,69.45,642500
15,"Jan 10, 2018",70.45,72.3,69.0,71.49,703500
16,"Jan 9, 2018",67.9,71.01,64.55,69.78,554500
17,"Jan 8, 2018",69.05,69.35,67.0,67.63,345500
18,"Jan 5, 2018",67.98,69.05,67.7,68.57,789000
19,"Jan 4, 2018",66.6,68.5,65.0,67.33,475500
20,"Jan 3, 2018",68.0,69.5,65.0,65.95,801000
21,"Jan 2, 2018",62.0,66.48,61.8,66.48,819000
22,"Jan 1, 2018",65.0,65.0,60.13,63.32,242000
23,"Feb 28, 2018",64.8,65.5,64.15,65.3,72500
24,"Feb 27, 2018",64.0,65.3,63.5,64.14,175500
25,"Feb 26, 2018",64.0,64.75,63.1,64.2,93500
26,"Feb 23, 2018",65.01,66.44,63.4,63.76,262500
27,"Feb 22, 2018",63.02,65.9,62.25,65.01,754500
28,"Feb 21, 2018",69.0,69.0,64.95,64.95,617000
29,"Feb 20, 2018",70.0,70.0,67.77,68.36,894000
30,"Feb 19, 2018",70.4,70.45,69.25,69.29,650000
31,"Feb 16, 2018",68.52,70.5,68.52,70.0,1136000
32,"Feb 15, 2018",70.0,72.0,69.4,69.6,232000
33,"Feb 14, 2018",70.5,71.79,69.55,70.0,410500
34,"Feb 13, 2018",70.51,71.95,70.5,70.82,238000
35,"Feb 12, 2018",70.95,71.05,69.62,70.32,251000
36,"Feb 9, 2018",71.1,71.7,70.0,70.55,617500
37,"Feb 8, 2018",73.5,73.7,71.27,72.21,408000
38,"Feb 7, 2018",73.5,74.5,73.3,73.35,435000
39,"Feb 6, 2018",72.75,73.99,72.03,72.86,606500
40,"Feb 2, 2018",79.95,80.25,75.24,75.52,1112500
41,"Feb 1, 2018",76.74,79.2,75.5,79.2,2145000
42,"Mar 30, 2018",70.5,71.5,69.65,70.04,244500
43,"Mar 29, 2018",69.98,71.75,69.58,70.4,1342500
44,"Mar 28, 2018",69.61,70.01,69.52,69.93,2235000
45,"Mar 27, 2018",69.97,71.2,69.5,69.92,1684500
46,"Mar 26, 2018",70.0,70.0,69.61,70.0,696000
47,"Mar 22, 2018",70.25,71.49,69.5,70.04,560500
48,"Mar 21, 2018",70.99,70.99,69.26,69.82,259000
49,"Mar 20, 2018",70.95,71.5,70.1,70.49,136500
50,"Mar 19, 2018",70.01,70.5,69.75,70.11,215500
51,"Mar 16, 2018",70.69,70.97,70.1,70.39,5500
52,"Mar 15, 2018",71.2,71.5,70.5,70.71,74500
53,"Mar 14, 2018",71.2,71.39,71.0,71.26,39000
54,"Mar 13, 2018",71.22,72.0,71.0,71.45,225000
55,"Mar 12, 2018",71.5,72.5,70.6,72.09,160000
56,"Mar 9, 2018",70.5,71.97,70.0,70.51,62500
57,"Mar 8, 2018",70.05,71.61,69.75,70.44,121500
58,"Mar 7, 2018",72.7,72.7,70.7,70.83,268000
59,"Mar 6, 2018",72.5,75.89,72.1,72.65,486500
60,"Mar 5, 2018",72.7,72.9,70.15,72.28,195500
61,"Mar 2, 2018",69.0,71.98,69.0,71.98,1171000
62,"Mar 1, 2018",66.0,68.56,66.0,68.56,254000
63,"Apr 30, 2018",62.89,62.9,61.5,61.96,752500
64,"Apr 27, 2018",64.05,64.8,63.5,63.62,91500
65,"Apr 26, 2018",67.75,67.9,64.49,65.41,676500
66,"Apr 25, 2018",69.49,69.49,67.3,67.88,250000
67,"Apr 24, 2018",67.6,69.01,67.6,68.56,305000
68,"Apr 23, 2018",68.11,68.77,67.6,67.95,219500
69,"Apr 20, 2018",69.25,69.25,68.5,68.77,211000
70,"Apr 19, 2018",68.2,69.0,67.9,68.42,134000
71,"Apr 18, 2018",69.0,70.2,68.5,68.9,331500
72,"Apr 17, 2018",68.44,69.0,68.0,68.2,154500
73,"Apr 16, 2018",69.06,69.9,68.4,68.74,57000
74,"Apr 13, 2018",70.02,70.8,69.7,70.01,139000
75,"Apr 12, 2018",71.25,71.69,70.5,71.13,83000
76,"Apr 11, 2018",72.97,72.97,70.8,71.54,102500
77,"Apr 10, 2018",72.5,72.5,71.8,72.17,115000
78,"Apr 9, 2018",72.5,73.0,72.01,72.25,258000
79,"Apr 6, 2018",73.89,73.89,71.51,72.18,284000
80,"Apr 5, 2018",72.0,73.3,71.51,72.48,216000
81,"Apr 4, 2018",72.01,73.4,71.5,71.92,513500
82,"Apr 3, 2018",72.98,73.7,71.52,72.66,210500
83,"Apr 2, 2018",71.45,73.54,71.4,73.01,1190500
84,"May 31, 2018",52.45,52.45,50.99,51.52,138000
85,"May 30, 2018",53.98,53.98,51.5,51.61,819000
86,"May 29, 2018",53.0,54.2,53.0,53.2,383000
87,"May 28, 2018",52.01,53.75,51.8,53.23,572500
88,"May 25, 2018",53.95,54.0,52.08,53.0,101500
89,"May 24, 2018",53.43,54.0,52.0,53.27,318500
90,"May 23, 2018",55.25,55.48,53.21,54.4,39000
91,"May 22, 2018",52.9,54.74,52.9,54.7,210500
92,"May 21, 2018",52.0,52.89,51.5,52.14,46000
93,"May 18, 2018",51.1,52.5,51.1,51.91,76500
94,"May 17, 2018",53.97,52.9,51.99,52.43,317500
95,"May 16, 2018",54.01,54.01,52.5,52.7,231000
96,"May 15, 2018",55.98,55.98,52.0,54.03,715500
97,"May 14, 2018",56.7,56.75,53.89,54.08,656000
98,"May 11, 2018",57.25,59.71,56.0,56.72,761500
