,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",563.0,571.05,562.1,563.81,604550
1,"Jan 30, 2018",565.0,571.9,562.02,564.86,585400
2,"Jan 29, 2018",567.8,572.49,565.0,566.78,135400
3,"Jan 26, 2018",568.0,568.5,555.9,565.96,529450
4,"Jan 25, 2018",581.0,586.7,566.96,569.11,1902550
5,"Jan 24, 2018",632.99,635.0,596.79,596.79,795650
6,"Jan 23, 2018",615.0,632.0,612.1,628.19,344850
7,"Jan 22, 2018",612.0,623.94,612.0,615.98,210600
8,"Jan 19, 2018",614.0,615.2,610.05,614.37,135750
9,"Jan 18, 2018",614.0,619.9,610.1,614.94,228700
10,"Jan 17, 2018",610.0,615.0,602.02,613.97,137200
11,"Jan 16, 2018",594.88,611.9,593.3,607.93,207550
12,"Jan 15, 2018",611.0,611.99,590.01,592.47,154550
13,"Jan 12, 2018",610.0,615.2,608.0,611.5,187600
14,"Jan 11, 2018",615.05,617.88,605.0,607.07,217500
15,"Jan 10, 2018",618.0,625.99,613.01,614.79,307100
16,"Jan 9, 2018",615.5,616.9,610.02,612.72,88700
17,"Jan 8, 2018",615.0,620.0,612.01,617.59,256550
18,"Jan 5, 2018",615.0,618.0,612.15,614.56,77850
19,"Jan 4, 2018",624.0,625.9,615.0,618.96,246950
20,"Jan 3, 2018",609.0,621.99,606.5,617.39,465050
21,"Jan 2, 2018",591.0,610.5,590.0,609.13,295200
22,"Jan 1, 2018",598.0,598.0,590.0,593.38,50200
23,"Feb 28, 2018",619.88,628.0,617.1,624.51,176450
24,"Feb 27, 2018",609.5,624.0,608.0,615.72,176600
25,"Feb 26, 2018",619.0,623.89,602.0,611.37,142050
26,"Feb 23, 2018",624.47,624.47,613.0,617.92,1182200
27,"Feb 22, 2018",561.0,594.74,561.0,594.74,609050
28,"Feb 21, 2018",566.8,575.0,563.0,566.42,281100
29,"Feb 20, 2018",563.0,566.0,553.0,564.59,281150
30,"Feb 19, 2018",561.01,569.26,561.0,562.66,222800
31,"Feb 16, 2018",553.5,565.0,552.02,561.71,54150
32,"Feb 15, 2018",566.0,571.0,551.0,551.81,392150
33,"Feb 14, 2018",564.1,565.0,560.0,563.66,262750
34,"Feb 13, 2018",564.0,566.9,563.0,563.98,77250
35,"Feb 12, 2018",561.0,567.0,561.0,564.55,130300
36,"Feb 9, 2018",559.5,563.95,558.5,563.0,121450
37,"Feb 8, 2018",564.7,565.0,560.4,562.84,361800
38,"Feb 7, 2018",568.0,573.0,566.25,568.1,210400
39,"Feb 6, 2018",569.0,570.0,563.89,565.32,184050
40,"Feb 2, 2018",571.0,580.0,571.0,575.19,231350
41,"Feb 1, 2018",565.94,570.98,564.02,569.87,260550
42,"Mar 30, 2018",645.0,654.0,643.2,650.56,197450
43,"Mar 29, 2018",641.01,649.5,639.5,647.12,303500
44,"Mar 28, 2018",640.0,641.5,636.0,640.48,68400
45,"Mar 27, 2018",649.9,649.9,641.0,641.7,73900
46,"Mar 26, 2018",640.0,648.98,640.0,647.04,213450
47,"Mar 22, 2018",632.25,646.95,632.25,638.83,272700
48,"Mar 21, 2018",640.0,645.0,630.01,631.59,248150
49,"Mar 20, 2018",635.05,645.4,635.05,638.95,540000
50,"Mar 19, 2018",620.0,633.25,615.5,632.11,573050
51,"Mar 16, 2018",617.0,620.0,615.0,618.92,266150
52,"Mar 15, 2018",609.0,616.99,609.0,615.19,416700
53,"Mar 14, 2018",609.0,613.0,605.01,608.32,261400
54,"Mar 13, 2018",605.5,610.9,605.0,609.96,171900
55,"Mar 12, 2018",602.0,610.0,592.0,603.87,372900
56,"Mar 9, 2018",601.0,615.0,599.99,609.61,289400
57,"Mar 8, 2018",609.0,610.0,598.0,600.39,383300
58,"Mar 7, 2018",610.0,611.95,607.01,610.0,117550
59,"Mar 6, 2018",614.94,616.0,606.0,609.42,123850
60,"Mar 5, 2018",615.0,617.0,610.0,612.63,116750
61,"Mar 2, 2018",616.02,617.0,613.2,615.13,72600
62,"Mar 1, 2018",621.5,623.0,615.02,618.96,32950
63,"Apr 30, 2018",668.0,682.5,666.99,679.33,53300
64,"Apr 27, 2018",672.0,675.01,663.0,665.99,84650
65,"Apr 26, 2018",685.0,686.49,670.01,674.91,143850
66,"Apr 25, 2018",690.0,690.0,682.75,684.07,11950
67,"Apr 24, 2018",679.95,695.0,674.7,689.58,140250
68,"Apr 23, 2018",681.0,682.8,676.75,677.32,44000
69,"Apr 20, 2018",696.1,696.25,680.0,684.19,166950
70,"Apr 19, 2018",689.0,698.99,687.51,696.09,335100
71,"Apr 18, 2018",693.0,694.0,680.0,683.89,225000
72,"Apr 17, 2018",690.1,698.5,686.0,690.83,374500
73,"Apr 16, 2018",695.0,695.0,690.0,692.87,124200
74,"Apr 13, 2018",698.0,698.0,690.25,696.06,209050
75,"Apr 12, 2018",702.97,703.0,693.0,696.87,223500
76,"Apr 11, 2018",708.01,712.0,694.0,696.26,236650
77,"Apr 10, 2018",703.5,713.0,701.5,703.82,243850
78,"Apr 9, 2018",709.0,709.0,697.1,698.12,71100
79,"Apr 6, 2018",710.0,719.0,699.0,707.34,519750
80,"Apr 5, 2018",685.2,709.0,685.0,705.52,548400
81,"Apr 4, 2018",696.0,714.99,684.0,685.71,870200
82,"Apr 3, 2018",654.71,690.03,653.0,690.03,774650
83,"Apr 2, 2018",650.0,659.0,644.0,657.18,244100
84,"May 31, 2018",670.0,684.0,670.0,678.72,206700
85,"May 30, 2018",653.85,682.0,646.0,666.61,158650
86,"May 29, 2018",655.0,656.0,648.0,649.6,102150
87,"May 28, 2018",654.0,656.99,644.0,654.75,286250
88,"May 25, 2018",664.7,664.7,660.15,662.13,12200
89,"May 24, 2018",673.0,674.0,660.0,668.46,105800
90,"May 23, 2018",677.0,685.0,670.0,671.01,27150
91,"May 22, 2018",649.5,674.92,644.0,674.61,117400
92,"May 21, 2018",655.0,663.0,640.0,642.79,46700
93,"May 18, 2018",660.0,660.01,648.0,650.77,25200
94,"May 17, 2018",660.0,661.0,657.0,658.86,81550
95,"May 16, 2018",662.0,664.5,660.0,661.19,24900
96,"May 15, 2018",655.05,665.0,643.0,660.49,335350
97,"May 14, 2018",684.02,684.02,651.29,653.58,298150
98,"May 11, 2018",690.0,691.0,684.7,685.56,89600
99,"May 10, 2018",689.99,692.5,684.99,689.33,263950
100,"May 9, 2018",694.0,701.98,682.0,686.45,851400
101,"May 8, 2018",683.0,694.0,680.55,684.13,475900
102,"May 7, 2018",671.0,691.0,671.0,681.03,375500
103,"May 4, 2018",669.0,675.0,665.1,667.73,55200
104,"May 3, 2018",675.0,680.0,666.0,669.38,92150
105,"May 2, 2018",680.0,680.01,674.7,677.38,24050
106,"Jun 29, 2018",678.0,681.06,664.0,671.79,141350
107,"Jun 28, 2018",661.01,680.0,660.0,673.66,313800
108,"Jun 27, 2018",653.05,665.0,649.99,662.95,407200
109,"Jun 26, 2018",645.0,653.0,643.0,648.15,201650
110,"Jun 25, 2018",650.0,663.0,634.0,640.26,274800
111,"Jun 22, 2018",665.0,665.0,644.0,647.95,401000
112,"Jun 21, 2018",671.24,671.24,657.0,662.49,245800
113,"Jun 20, 2018",687.98,687.98,664.0,671.24,205200
114,"Jun 19, 2018",692.92,699.02,683.0,684.76,94250
115,"Jun 14, 2018",685.1,695.0,685.0,693.39,211450
116,"Jun 13, 2018",679.0,700.0,674.0,685.36,28450
117,"Jun 12, 2018",685.0,686.0,675.0,679.44,75550
118,"Jun 11, 2018",685.0,688.99,684.0,685.92,107400
119,"Jun 7, 2018",679.71,690.9,675.5,680.3,34650
120,"Jun 6, 2018",689.98,689.98,675.08,680.07,25650
121,"Jun 5, 2018",682.89,689.0,676.26,685.36,801900
122,"Jun 4, 2018",670.1,688.0,669.69,683.57,192100
123,"Jun 1, 2018",675.0,677.0,672.0,673.74,19850
124,"Jul 31, 2018",665.0,670.0,658.0,662.26,83950
125,"Jul 30, 2018",665.0,673.99,665.0,670.72,126400
126,"Jul 27, 2018",670.0,670.0,663.01,666.73,55250
127,"Jul 26, 2018",666.0,668.0,647.0,662.5,228000
128,"Jul 24, 2018",623.99,641.0,619.99,639.26,90550
129,"Jul 23, 2018",629.19,630.0,615.0,617.38,115600
130,"Jul 20, 2018",644.25,645.0,627.99,630.5,142600
131,"Jul 19, 2018",639.0,654.97,639.0,646.32,116300
132,"Jul 18, 2018",624.5,638.0,624.5,634.85,69100
133,"Jul 17, 2018",634.12,634.99,609.98,627.5,415250
134,"Jul 16, 2018",636.61,644.0,634.5,635.3,63450
135,"Jul 13, 2018",634.99,639.0,628.5,636.06,78300
136,"Jul 12, 2018",633.0,639.0,624.7,633.85,48600
137,"Jul 11, 2018",624.7,641.0,624.7,635.7,136350
138,"Jul 10, 2018",619.71,633.99,606.0,629.59,254900
139,"Jul 9, 2018",646.99,660.0,611.1,621.66,211850
140,"Jul 6, 2018",642.99,647.99,637.0,642.63,54850
141,"Jul 5, 2018",645.0,654.0,639.7,642.65,70650
142,"Jul 4, 2018",662.89,662.9,644.0,645.74,84100
143,"Jul 3, 2018",669.67,669.95,660.0,662.76,23450
144,"Jul 2, 2018",680.0,680.0,665.0,669.67,110900
145,"Aug 31, 2018",640.18,647.98,640.18,643.26,226550
146,"Aug 30, 2018",644.0,647.0,638.0,640.18,87700
147,"Aug 29, 2018",647.5,655.0,641.12,642.84,259050
148,"Aug 28, 2018",644.0,651.0,643.99,649.09,382100
149,"Aug 27, 2018",637.89,643.99,636.1,640.74,374650
150,"Aug 24, 2018",635.0,640.0,633.01,635.77,76350
151,"Aug 20, 2018",638.01,638.01,631.01,632.12,63750
152,"Aug 17, 2018",640.0,645.3,635.07,638.23,737250
153,"Aug 16, 2018",635.0,643.0,629.0,638.79,195750
154,"Aug 15, 2018",664.7,672.0,632.02,635.03,1637250
155,"Aug 13, 2018",631.11,642.0,631.11,640.01,32400
156,"Aug 10, 2018",645.0,645.11,640.0,641.14,65800
157,"Aug 9, 2018",657.0,657.99,644.0,644.8,140350
158,"Aug 8, 2018",654.99,660.0,652.02,658.66,71450
159,"Aug 7, 2018",655.0,660.0,655.0,656.95,15550
160,"Aug 6, 2018",654.99,655.99,648.99,653.64,26750
161,"Aug 3, 2018",654.0,655.0,648.05,650.95,77350
162,"Aug 2, 2018",659.1,660.01,653.02,653.4,14750
163,"Aug 1, 2018",660.0,665.9,658.07,659.84,32600
164,"Sep 28, 2018",540.0,555.0,535.0,549.18,447100
165,"Sep 27, 2018",545.7,548.0,536.99,538.69,54600
166,"Sep 26, 2018",550.0,552.99,545.01,545.69,37100
167,"Sep 25, 2018",542.0,551.0,542.0,547.34,262050
168,"Sep 24, 2018",530.01,541.99,530.0,536.03,332850
169,"Sep 19, 2018",521.0,534.98,521.0,532.33,142950
170,"Sep 18, 2018",520.0,528.0,512.0,523.37,158200
171,"Sep 17, 2018",536.0,536.0,514.11,520.09,192850
172,"Sep 14, 2018",655.0,663.97,655.0,659.2,494100
173,"Sep 13, 2018",645.7,658.0,645.0,654.07,152450
174,"Sep 12, 2018",640.0,649.0,639.21,647.74,135450
175,"Sep 11, 2018",642.0,642.0,632.0,639.32,51950
176,"Sep 10, 2018",634.11,640.0,627.99,638.07,35250
177,"Sep 7, 2018",643.99,646.0,633.01,635.73,80800
178,"Sep 6, 2018",637.0,644.5,637.0,639.51,82350
179,"Sep 5, 2018",643.03,647.0,638.31,639.04,225550
180,"Sep 4, 2018",645.0,649.0,642.0,647.72,71550
181,"Sep 3, 2018",641.0,650.0,630.01,648.42,111750
182,"Oct 31, 2018",545.98,548.0,541.99,544.47,164150
183,"Oct 30, 2018",550.99,552.0,543.0,545.32,132500
184,"Oct 29, 2018",556.0,563.0,548.5,550.01,576900
185,"Oct 26, 2018",550.0,558.0,543.71,554.82,236900
186,"Oct 25, 2018",555.2,557.0,544.75,547.12,458250
187,"Oct 24, 2018",554.0,558.0,538.0,555.38,747400
188,"Oct 23, 2018",536.99,536.99,529.1,535.5,101400
189,"Oct 22, 2018",543.0,548.0,533.95,536.18,100600
190,"Oct 19, 2018",543.11,549.0,534.98,542.08,100350
191,"Oct 18, 2018",550.0,552.0,542.0,543.87,101350
192,"Oct 17, 2018",538.99,552.85,538.99,550.11,329750
193,"Oct 16, 2018",524.47,549.73,524.02,539.23,303250
194,"Oct 15, 2018",523.9,527.9,517.99,523.56,137450
195,"Oct 12, 2018",537.1,538.5,520.01,523.29,115650
196,"Oct 11, 2018",538.0,544.11,535.02,538.76,85750
197,"Oct 10, 2018",545.0,555.0,529.0,549.47,155250
198,"Oct 9, 2018",528.94,545.53,528.88,544.59,319000
199,"Oct 8, 2018",537.11,539.0,518.0,519.56,221800
200,"Oct 5, 2018",545.5,549.0,535.5,540.54,120800
201,"Oct 4, 2018",555.0,557.0,547.5,549.73,162850
202,"Oct 3, 2018",555.0,558.49,550.0,552.66,73450
203,"Oct 2, 2018",555.0,559.27,552.1,558.26,817050
204,"Oct 1, 2018",549.0,553.03,546.75,548.06,125300
205,"Nov 30, 2018",483.97,499.8,483.0,486.0,1022750
206,"Nov 29, 2018",485.97,485.97,479.0,481.54,221700
207,"Nov 28, 2018",491.5,497.0,486.0,486.68,244150
208,"Nov 27, 2018",482.51,492.74,482.51,489.18,425100
209,"Nov 26, 2018",470.0,487.5,470.0,481.0,596650
210,"Nov 23, 2018",490.11,492.88,479.0,480.48,875650
211,"Nov 22, 2018",505.99,505.99,490.25,491.9,865900
212,"Nov 20, 2018",520.0,522.7,515.0,515.43,58250
213,"Nov 19, 2018",523.2,523.25,515.1,519.64,259750
214,"Nov 16, 2018",510.0,528.88,508.9,523.35,419900
215,"Nov 15, 2018",502.0,509.97,495.05,507.07,496250
216,"Nov 14, 2018",507.0,509.5,505.21,505.21,1758600
217,"Nov 13, 2018",531.1,533.02,529.79,531.8,131750
218,"Nov 12, 2018",527.0,533.0,527.0,531.39,85000
219,"Nov 9, 2018",524.05,531.1,523.0,526.4,228800
220,"Nov 8, 2018",535.0,536.0,525.15,530.27,138800
221,"Nov 7, 2018",520.0,536.99,520.0,534.13,214750
222,"Nov 6, 2018",522.1,529.0,520.1,522.74,120200
223,"Nov 5, 2018",532.1,533.01,517.0,523.8,266700
224,"Nov 2, 2018",538.0,538.0,526.01,533.5,681500
225,"Nov 1, 2018",544.0,544.0,537.0,540.82,218000
226,"Dec 31, 2018",409.1,430.0,406.0,424.82,252050
227,"Dec 28, 2018",420.0,420.5,405.5,415.24,366400
228,"Dec 27, 2018",430.0,431.0,418.0,420.55,268650
229,"Dec 26, 2018",424.0,424.0,417.0,419.16,221750
230,"Dec 24, 2018",428.99,431.02,427.0,429.11,40400
231,"Dec 21, 2018",437.1,437.75,428.11,429.97,226750
