,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",206.0,207.05,206.0,206.5,206400
1,"Jan 30, 2018",206.5,208.4,206.0,207.0,402900
2,"Jan 29, 2018",208.9,208.95,205.95,206.41,67200
3,"Jan 26, 2018",206.0,208.45,205.5,207.69,643200
4,"Jan 25, 2018",207.2,209.8,205.5,206.17,740800
5,"Jan 24, 2018",213.0,214.0,202.15,205.11,3182800
6,"Jan 23, 2018",212.83,213.98,210.0,211.96,568500
7,"Jan 22, 2018",213.59,214.0,212.0,213.05,598300
8,"Jan 19, 2018",213.1,214.25,212.31,213.01,793700
9,"Jan 18, 2018",213.25,216.0,211.11,213.06,688800
10,"Jan 17, 2018",211.3,212.98,209.5,212.47,462400
11,"Jan 16, 2018",208.5,212.3,208.5,210.33,734900
12,"Jan 15, 2018",210.51,211.65,207.0,207.52,378800
13,"Jan 12, 2018",213.75,214.0,210.15,210.75,575100
14,"Jan 11, 2018",215.0,217.49,212.03,212.66,1300400
15,"Jan 10, 2018",213.9,216.27,212.5,213.98,5260800
16,"Jan 9, 2018",215.19,215.19,210.25,211.42,472600
17,"Jan 8, 2018",215.95,215.95,212.06,213.69,595300
18,"Jan 5, 2018",215.01,216.19,213.05,214.88,421500
19,"Jan 4, 2018",218.03,219.5,215.1,216.1,455200
20,"Jan 3, 2018",213.5,216.5,211.51,215.8,1222200
21,"Jan 2, 2018",205.02,215.0,205.0,212.83,1799100
22,"Jan 1, 2018",205.0,207.98,204.5,207.1,457800
23,"Feb 28, 2018",199.99,204.5,199.99,203.91,285400
24,"Feb 27, 2018",197.05,202.89,197.0,199.05,385300
25,"Feb 26, 2018",203.0,203.0,196.1,196.65,1133300
26,"Feb 23, 2018",205.25,205.97,200.1,201.12,270800
27,"Feb 22, 2018",197.0,205.5,195.7,204.08,590700
28,"Feb 21, 2018",200.0,201.0,198.0,198.52,425500
29,"Feb 20, 2018",199.97,201.9,195.71,200.16,463600
30,"Feb 19, 2018",202.0,204.0,199.0,199.89,266700
31,"Feb 16, 2018",198.5,203.0,196.5,201.78,815300
32,"Feb 15, 2018",199.99,199.99,196.0,196.29,1159700
33,"Feb 14, 2018",196.51,199.49,196.08,198.56,607100
34,"Feb 13, 2018",198.0,200.57,197.01,198.71,575100
35,"Feb 12, 2018",196.0,199.0,196.0,197.27,376200
36,"Feb 9, 2018",196.01,198.5,195.7,197.6,316600
37,"Feb 8, 2018",203.01,203.01,198.05,198.82,889400
38,"Feb 7, 2018",205.98,206.51,203.5,204.31,441700
39,"Feb 6, 2018",207.49,207.49,200.66,205.83,343700
40,"Feb 2, 2018",207.79,210.0,207.35,208.79,1304400
41,"Feb 1, 2018",206.97,207.79,204.11,206.75,135700
42,"Mar 30, 2018",213.45,213.98,212.01,212.84,267800
43,"Mar 29, 2018",211.95,214.0,211.16,213.45,697100
44,"Mar 28, 2018",213.49,213.49,210.76,211.84,47700
45,"Mar 27, 2018",214.85,214.85,211.02,212.31,178100
46,"Mar 26, 2018",213.25,218.49,212.15,214.18,623600
47,"Mar 22, 2018",213.95,214.2,212.18,213.01,632000
48,"Mar 21, 2018",211.8,213.0,209.55,211.49,1256800
49,"Mar 20, 2018",202.59,210.69,202.0,208.85,2030400
50,"Mar 19, 2018",203.16,204.85,201.0,201.56,936700
51,"Mar 16, 2018",203.5,205.0,202.5,203.72,450500
52,"Mar 15, 2018",202.06,204.0,202.0,203.9,175200
53,"Mar 14, 2018",200.5,203.5,200.5,202.99,251900
54,"Mar 13, 2018",202.89,203.49,200.13,201.44,595600
55,"Mar 12, 2018",202.5,202.5,200.62,201.74,122200
56,"Mar 9, 2018",198.97,202.8,198.02,201.27,241500
57,"Mar 8, 2018",200.01,201.97,196.85,198.3,1118800
58,"Mar 7, 2018",201.5,203.02,199.05,201.07,117100
59,"Mar 6, 2018",203.5,204.2,202.0,202.25,129100
60,"Mar 5, 2018",204.1,204.5,202.0,202.85,33800
61,"Mar 2, 2018",202.5,205.25,200.03,204.02,453200
62,"Mar 1, 2018",204.9,204.9,201.0,202.64,121100
63,"Apr 30, 2018",215.49,216.7,213.3,214.29,253600
64,"Apr 27, 2018",213.02,215.25,213.02,214.68,280200
65,"Apr 26, 2018",216.4,218.27,213.1,214.4,414800
66,"Apr 25, 2018",216.98,217.75,216.0,216.95,454200
