,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",316.9,318.0,315.5,315.81,258800
1,"Jan 30, 2018",317.0,318.0,314.0,315.21,276400
2,"Jan 29, 2018",315.0,319.44,314.1,316.35,447600
3,"Jan 26, 2018",315.0,316.0,312.1,314.99,389400
4,"Jan 25, 2018",317.16,321.0,315.0,316.43,538900
5,"Jan 24, 2018",319.0,322.53,315.01,317.41,1221400
6,"Jan 23, 2018",319.99,320.0,313.0,317.33,646100
7,"Jan 22, 2018",308.0,319.9,308.03,317.92,1586900
8,"Jan 19, 2018",307.9,308.75,304.5,307.09,577300
9,"Jan 18, 2018",307.01,312.0,301.0,306.18,845600
10,"Jan 17, 2018",300.0,304.99,299.0,304.14,377000
11,"Jan 16, 2018",292.51,303.84,291.9,301.08,771500
12,"Jan 15, 2018",301.01,301.1,292.0,293.06,429000
13,"Jan 12, 2018",316.0,316.0,301.12,302.82,673100
14,"Jan 11, 2018",319.0,320.0,313.9,315.05,1007900
15,"Jan 10, 2018",317.99,321.8,315.5,320.26,982500
16,"Jan 9, 2018",308.99,315.95,305.6,314.48,1001400
17,"Jan 8, 2018",300.0,310.0,299.33,307.26,1444100
18,"Jan 5, 2018",296.01,302.48,296.01,300.28,387800
19,"Jan 4, 2018",301.0,302.5,297.54,298.48,326700
20,"Jan 3, 2018",297.0,303.0,296.0,298.93,1021000
21,"Jan 2, 2018",294.0,301.0,290.0,297.22,657000
22,"Jan 1, 2018",295.0,296.9,289.5,295.83,291000
23,"Feb 28, 2018",292.0,301.0,290.3,297.78,709600
24,"Feb 27, 2018",286.25,291.0,285.0,289.87,290500
25,"Feb 26, 2018",294.9,296.73,285.01,286.28,556700
26,"Feb 23, 2018",298.0,299.9,290.0,293.5,560500
27,"Feb 22, 2018",293.0,298.0,290.1,296.53,792100
28,"Feb 21, 2018",308.02,310.0,297.55,298.73,912100
29,"Feb 20, 2018",307.0,307.0,302.0,305.37,141200
30,"Feb 19, 2018",306.6,309.0,306.1,307.29,573100
31,"Feb 16, 2018",294.61,303.5,294.61,302.0,293600
32,"Feb 15, 2018",302.0,305.0,295.01,296.47,631700
33,"Feb 14, 2018",306.77,307.0,301.3,301.72,433900
34,"Feb 13, 2018",308.95,309.03,307.55,308.07,88400
35,"Feb 12, 2018",309.85,310.0,305.5,307.41,280600
36,"Feb 9, 2018",309.5,310.7,306.56,309.74,290300
37,"Feb 8, 2018",314.95,315.0,310.01,310.61,260000
38,"Feb 7, 2018",317.99,318.0,314.0,314.4,274500
39,"Feb 6, 2018",315.0,316.5,314.0,315.42,379300
40,"Feb 2, 2018",319.0,323.28,318.9,320.47,663300
41,"Feb 1, 2018",316.27,321.0,316.27,318.36,793100
42,"Mar 30, 2018",322.5,323.4,318.75,321.49,740000
43,"Mar 29, 2018",316.89,324.0,313.5,322.7,2002900
44,"Mar 28, 2018",315.0,317.89,313.0,315.93,578500
45,"Mar 27, 2018",311.52,318.0,311.52,316.02,1030500
46,"Mar 26, 2018",309.5,313.86,307.55,312.37,226700
47,"Mar 22, 2018",312.0,313.8,309.2,310.67,351300
48,"Mar 21, 2018",307.0,312.75,306.0,310.34,958000
49,"Mar 20, 2018",303.0,310.9,303.0,306.75,2075300
50,"Mar 19, 2018",293.5,302.99,293.5,302.03,654500
51,"Mar 16, 2018",296.0,296.0,291.0,292.99,449300
52,"Mar 15, 2018",295.8,296.97,295.0,295.64,139600
53,"Mar 14, 2018",299.02,300.0,294.53,295.07,529900
54,"Mar 13, 2018",296.0,301.5,296.0,299.19,420900
55,"Mar 12, 2018",293.78,296.9,293.07,295.82,139500
56,"Mar 9, 2018",299.0,299.89,293.0,293.78,247900
57,"Mar 8, 2018",300.0,301.5,294.75,298.54,433000
58,"Mar 7, 2018",300.0,301.0,297.75,298.95,228400
59,"Mar 6, 2018",301.55,304.5,299.2,300.46,306100
60,"Mar 5, 2018",299.39,303.0,298.5,301.22,335000
61,"Mar 2, 2018",298.5,300.5,297.11,298.24,270800
62,"Mar 1, 2018",298.9,303.99,297.53,299.3,677700
