,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",382.0,383.98,378.0,378.73,342400
1,"Jan 30, 2018",378.0,383.75,374.0,379.34,631300
2,"Jan 29, 2018",377.0,377.2,365.65,371.19,434400
3,"Jan 26, 2018",380.0,383.0,376.0,377.22,419700
4,"Jan 25, 2018",373.0,384.5,373.0,380.2,1036700
5,"Jan 24, 2018",376.0,381.5,369.05,371.64,572300
6,"Jan 23, 2018",372.75,377.97,364.0,374.06,470400
7,"Jan 22, 2018",364.0,375.08,362.0,372.03,1169800
8,"Jan 19, 2018",340.0,357.22,340.0,357.22,1093900
9,"Jan 18, 2018",348.48,349.9,334.0,340.21,768900
10,"Jan 17, 2018",322.0,338.99,321.75,338.66,835100
11,"Jan 16, 2018",322.01,329.0,322.0,322.85,136200
12,"Jan 15, 2018",326.75,326.75,321.0,321.66,244200
13,"Jan 12, 2018",331.01,332.5,327.01,328.11,264400
14,"Jan 11, 2018",341.01,343.4,331.5,332.44,635100
15,"Jan 10, 2018",338.0,343.0,336.51,339.61,468100
16,"Jan 9, 2018",348.2,348.2,335.0,337.57,346600
17,"Jan 8, 2018",349.0,355.0,345.0,348.23,648300
18,"Jan 5, 2018",339.5,350.86,339.5,346.3,854000
19,"Jan 4, 2018",319.8,334.16,319.8,334.16,681300
20,"Jan 3, 2018",317.11,323.0,316.01,318.25,234900
21,"Jan 2, 2018",308.0,324.0,308.0,318.99,565400
22,"Jan 1, 2018",314.01,315.0,309.0,310.4,199300
23,"Feb 28, 2018",359.0,364.98,359.0,361.48,257500
24,"Feb 27, 2018",358.0,367.0,350.0,357.97,604000
25,"Feb 26, 2018",363.0,363.0,354.0,358.4,194700
26,"Feb 23, 2018",369.5,371.0,358.0,359.42,462100
27,"Feb 22, 2018",354.55,368.99,354.0,366.0,295500
28,"Feb 21, 2018",374.0,374.0,361.0,362.94,309900
29,"Feb 20, 2018",368.0,368.0,359.69,365.87,302900
30,"Feb 19, 2018",369.0,377.45,366.2,368.47,826500
31,"Feb 16, 2018",341.15,359.74,340.0,359.72,493200
32,"Feb 15, 2018",354.0,359.0,341.0,342.61,676400
33,"Feb 14, 2018",371.9,374.0,352.0,355.75,581500
34,"Feb 13, 2018",378.0,381.0,369.0,370.35,327800
35,"Feb 12, 2018",381.81,383.5,375.0,376.38,153800
36,"Feb 9, 2018",377.0,384.82,373.5,382.61,396000
37,"Feb 8, 2018",387.69,387.8,379.0,381.96,341100
38,"Feb 7, 2018",387.0,394.99,384.5,385.56,535000
39,"Feb 6, 2018",385.0,391.0,380.0,385.96,427200
40,"Feb 2, 2018",390.55,394.38,387.12,389.41,812600
41,"Feb 1, 2018",380.5,393.79,379.0,389.41,1042000
42,"Mar 30, 2018",352.0,356.86,350.5,351.61,539200
43,"Mar 29, 2018",351.0,354.0,349.55,350.93,277100
44,"Mar 28, 2018",352.0,354.0,349.5,350.41,207000
45,"Mar 27, 2018",347.11,355.75,347.11,351.0,391900
46,"Mar 26, 2018",349.0,349.48,346.1,347.0,98500
47,"Mar 22, 2018",352.2,352.75,349.0,349.65,100300
48,"Mar 21, 2018",348.06,356.5,348.0,350.37,397700
49,"Mar 20, 2018",351.0,353.75,347.0,348.12,374700
50,"Mar 19, 2018",351.0,352.25,346.01,349.28,285900
51,"Mar 16, 2018",359.0,360.0,351.01,351.73,381000
52,"Mar 15, 2018",355.5,360.0,355.5,358.84,92100
53,"Mar 14, 2018",361.0,364.65,356.0,356.97,203200
54,"Mar 13, 2018",357.0,366.88,356.01,360.89,292200
55,"Mar 12, 2018",353.1,358.0,353.01,356.97,65600
56,"Mar 9, 2018",358.56,361.95,352.5,354.24,193200
57,"Mar 8, 2018",360.1,364.5,357.7,359.26,158400
58,"Mar 7, 2018",367.02,368.0,362.78,363.15,146500
59,"Mar 6, 2018",370.8,373.9,367.01,367.67,309200
60,"Mar 5, 2018",368.49,374.0,367.0,370.77,678200
61,"Mar 2, 2018",363.01,376.0,361.0,366.63,706400
62,"Mar 1, 2018",361.05,364.5,357.0,363.3,251600
63,"Apr 30, 2018",359.99,360.45,353.99,355.88,197600
64,"Apr 27, 2018",354.25,359.9,353.4,354.58,308200
65,"Apr 26, 2018",359.0,360.0,353.5,354.28,77500
66,"Apr 25, 2018",354.85,360.98,354.9,359.34,272100
67,"Apr 24, 2018",354.0,357.5,352.7,354.33,157500
68,"Apr 23, 2018",352.9,353.7,351.0,352.19,43800
69,"Apr 20, 2018",354.5,355.9,351.0,352.51,76600
70,"Apr 19, 2018",359.98,361.0,352.55,354.67,140200
71,"Apr 18, 2018",360.0,365.25,357.9,359.33,370100
72,"Apr 17, 2018",350.2,360.48,350.0,359.65,227500
73,"Apr 16, 2018",358.0,358.0,350.01,351.91,52200
74,"Apr 13, 2018",359.5,359.5,353.0,356.36,89000
75,"Apr 12, 2018",361.0,361.0,354.9,358.1,139600
76,"Apr 11, 2018",362.88,365.88,360.01,360.69,205000
77,"Apr 10, 2018",365.07,365.99,360.0,362.17,169200
78,"Apr 9, 2018",366.99,369.0,365.0,366.03,174600
79,"Apr 6, 2018",368.8,371.89,363.5,365.06,365100
80,"Apr 5, 2018",364.94,368.99,361.0,367.26,491800
81,"Apr 4, 2018",360.1,367.01,360.1,362.59,570500
82,"Apr 3, 2018",353.0,361.0,353.0,359.05,439800
83,"Apr 2, 2018",353.97,356.4,351.53,353.22,219900
84,"May 31, 2018",310.0,324.82,307.0,324.82,534500
85,"May 30, 2018",305.1,312.0,303.05,309.36,95900
