,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",85.0,86.2,84.6,86.0,31000
1,"Jan 30, 2018",87.0,87.0,85.1,85.38,14500
2,"Jan 29, 2018",87.0,88.8,86.41,87.66,49000
3,"Jan 26, 2018",83.5,88.35,83.5,87.21,378500
4,"Jan 25, 2018",86.0,86.4,84.0,84.94,77500
5,"Jan 24, 2018",83.0,86.11,83.0,84.64,387500
6,"Jan 23, 2018",82.01,83.0,82.0,82.01,41500
7,"Jan 22, 2018",83.0,83.5,82.1,83.03,76000
8,"Jan 19, 2018",83.5,83.9,82.55,82.9,23000
9,"Jan 18, 2018",83.5,85.5,82.3,83.0,287000
10,"Jan 17, 2018",81.85,83.5,81.75,83.0,51500
11,"Jan 16, 2018",82.95,83.45,80.4,80.72,33500
12,"Jan 15, 2018",82.1,82.9,81.1,81.99,56500
13,"Jan 12, 2018",82.99,84.75,82.0,82.61,1784000
14,"Jan 11, 2018",83.0,83.5,81.0,82.88,734500
15,"Jan 10, 2018",84.95,85.0,82.01,83.9,71000
16,"Jan 9, 2018",82.4,84.33,81.0,82.98,260500
17,"Jan 8, 2018",74.5,80.34,74.5,80.32,436000
18,"Jan 5, 2018",74.35,77.0,71.0,76.52,180500
19,"Jan 4, 2018",71.03,74.5,71.03,74.01,381500
20,"Jan 3, 2018",74.03,74.6,72.3,72.75,21000
21,"Jan 2, 2018",74.85,76.0,73.11,75.32,197500
22,"Jan 1, 2018",75.5,75.5,75.0,75.0,4000
23,"Feb 28, 2018",89.88,90.0,87.5,88.16,53000
24,"Feb 27, 2018",87.0,88.24,87.0,87.05,49000
25,"Feb 26, 2018",89.25,89.25,88.0,88.25,253500
26,"Feb 23, 2018",92.15,94.99,90.0,90.5,124500
27,"Feb 22, 2018",88.45,92.13,88.45,92.13,385000
28,"Feb 21, 2018",85.51,87.99,85.51,87.75,13000
29,"Feb 20, 2018",88.0,88.0,88.0,88.0,500
30,"Feb 19, 2018",87.05,87.95,87.01,87.95,12500
31,"Feb 16, 2018",86.5,89.0,86.5,88.51,314000
32,"Feb 15, 2018",87.5,87.5,86.0,86.18,32000
33,"Feb 14, 2018",87.9,88.0,87.0,87.0,173000
34,"Feb 13, 2018",87.0,88.5,85.76,87.99,50000
35,"Feb 12, 2018",86.0,87.0,85.0,86.33,63000
36,"Feb 9, 2018",86.99,88.2,85.5,87.85,18000
37,"Feb 8, 2018",86.5,88.0,86.5,87.0,189000
38,"Feb 7, 2018",85.0,89.0,85.0,87.29,226000
39,"Feb 6, 2018",83.0,86.9,83.0,85.4,61500
40,"Feb 2, 2018",83.6,85.0,83.6,84.69,33000
41,"Feb 1, 2018",85.0,85.9,83.2,84.44,57500
42,"Mar 30, 2018",93.65,98.0,93.56,96.62,119000
43,"Mar 29, 2018",92.15,95.25,92.15,95.04,106500
44,"Mar 28, 2018",92.0,94.0,88.81,93.68,300000
45,"Mar 27, 2018",92.6,95.0,92.6,93.48,406000
46,"Mar 26, 2018",98.0,98.05,94.98,95.94,272000
47,"Mar 22, 2018",95.95,99.4,95.5,99.05,1136000
48,"Mar 21, 2018",97.0,97.4,94.3,96.29,686500
49,"Mar 20, 2018",94.05,98.0,94.05,97.0,705000
50,"Mar 19, 2018",93.02,96.0,93.02,95.42,382500
51,"Mar 16, 2018",94.99,95.5,94.0,94.02,183000
52,"Mar 15, 2018",90.0,93.6,90.0,93.6,1102000
53,"Mar 14, 2018",89.0,91.0,89.0,89.15,43000
54,"Mar 13, 2018",88.0,91.0,88.0,88.91,32500
55,"Mar 12, 2018",87.5,88.25,87.5,88.0,26000
56,"Mar 9, 2018",88.0,88.0,86.5,86.5,1000
57,"Mar 8, 2018",88.0,88.4,85.15,88.0,53500
58,"Mar 7, 2018",85.0,88.5,85.0,88.0,147000
59,"Mar 6, 2018",87.0,88.0,87.0,88.0,3500
60,"Mar 5, 2018",89.49,89.5,88.0,88.0,23000
61,"Mar 2, 2018",88.0,88.0,87.99,87.99,7000
62,"Mar 1, 2018",86.75,88.0,86.75,88.0,36500
63,"Apr 30, 2018",95.5,98.3,95.5,97.56,30500
64,"Apr 27, 2018",98.5,98.9,95.99,96.19,123500
65,"Apr 26, 2018",96.0,96.0,95.0,95.67,46000
66,"Apr 25, 2018",95.26,97.0,95.26,96.0,7000
67,"Apr 24, 2018",96.0,97.75,96.0,97.5,160000
68,"Apr 23, 2018",95.0,97.5,94.99,97.07,91000
69,"Apr 20, 2018",94.01,94.75,94.0,94.26,788500
70,"Apr 19, 2018",93.5,94.0,93.5,94.0,1500
71,"Apr 18, 2018",96.75,96.75,94.0,94.0,21000
72,"Apr 17, 2018",95.0,95.89,95.0,95.4,9500
73,"Apr 16, 2018",94.01,96.0,94.01,95.8,47500
74,"Apr 13, 2018",97.0,98.39,96.0,96.53,162000
75,"Apr 12, 2018",95.5,96.3,95.5,96.0,50000
76,"Apr 11, 2018",95.5,96.75,95.5,95.79,20500
77,"Apr 10, 2018",96.99,96.99,96.0,96.49,29500
78,"Apr 9, 2018",97.0,97.55,95.6,95.6,25500
79,"Apr 6, 2018",96.0,97.5,94.21,96.48,56000
80,"Apr 5, 2018",97.99,97.99,96.0,96.75,271500
81,"Apr 4, 2018",95.0,98.0,95.0,96.0,105000
82,"Apr 3, 2018",96.0,96.0,94.0,94.0,13500
83,"Apr 2, 2018",97.0,97.94,94.12,95.06,5500
84,"May 31, 2018",92.5,94.0,91.85,93.47,40500
85,"May 30, 2018",93.0,93.0,90.6,91.94,29000
86,"May 29, 2018",90.0,92.89,90.0,92.16,40500
87,"May 28, 2018",89.15,91.0,89.0,91.0,520500
88,"May 25, 2018",89.59,91.87,89.59,91.86,12000
89,"May 24, 2018",91.99,94.8,91.25,92.04,650000
90,"May 23, 2018",92.0,92.0,90.13,91.99,70000
91,"May 22, 2018",89.0,92.4,89.0,92.4,98000
