,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",35.56,36.12,35.15,35.47,12411000
1,"Jan 30, 2018",34.54,35.64,34.51,35.42,8994000
2,"Jan 29, 2018",34.79,34.79,34.27,34.53,2799500
3,"Jan 26, 2018",34.6,35.42,34.5,34.73,10199000
4,"Jan 25, 2018",34.6,34.94,34.1,34.79,8343500
5,"Jan 24, 2018",34.8,36.0,34.26,34.65,29045500
6,"Jan 23, 2018",34.36,34.97,33.71,34.7,10986500
7,"Jan 22, 2018",33.05,34.46,32.82,34.36,15352000
8,"Jan 19, 2018",32.45,33.15,32.06,32.82,7981000
9,"Jan 18, 2018",33.0,33.49,30.85,31.93,17579000
10,"Jan 17, 2018",31.49,32.42,31.1,32.23,4346000
11,"Jan 16, 2018",31.15,32.37,31.0,31.5,7797500
12,"Jan 15, 2018",32.6,32.84,31.25,31.25,8556500
13,"Jan 12, 2018",34.01,34.98,32.61,32.89,26025000
14,"Jan 11, 2018",33.01,33.92,32.61,33.92,12879500
15,"Jan 10, 2018",30.4,32.31,30.01,32.31,16720500
16,"Jan 9, 2018",29.65,30.89,29.12,30.78,23513000
17,"Jan 8, 2018",29.1,29.78,28.66,29.42,12237000
18,"Jan 5, 2018",29.5,29.74,28.8,29.04,8673500
19,"Jan 4, 2018",28.92,29.78,28.6,29.54,8536000
20,"Jan 3, 2018",29.7,30.0,28.71,28.98,11266500
21,"Jan 2, 2018",30.3,31.42,29.35,29.7,20767000
22,"Jan 1, 2018",29.4,30.98,28.15,30.76,15096500
23,"Feb 28, 2018",37.14,37.44,36.5,36.85,4629500
24,"Feb 27, 2018",37.49,37.8,36.5,36.95,9235000
25,"Feb 26, 2018",37.35,37.35,36.8,37.35,9306000
26,"Feb 23, 2018",37.02,37.42,35.0,35.58,14654000
27,"Feb 22, 2018",35.75,37.0,35.5,36.84,5767000
28,"Feb 21, 2018",37.2,37.35,36.55,36.78,9326000
29,"Feb 20, 2018",35.55,36.55,34.4,36.29,13842500
30,"Feb 19, 2018",36.65,37.1,34.84,35.37,7499000
31,"Feb 16, 2018",35.0,36.79,34.3,36.44,13797500
32,"Feb 15, 2018",37.25,37.47,35.55,35.55,9331500
33,"Feb 14, 2018",38.37,38.44,37.0,37.42,7331500
34,"Feb 13, 2018",39.21,39.62,38.13,38.75,11497500
35,"Feb 12, 2018",38.4,39.35,38.2,39.13,12159000
