,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",201.99,203.5,192.1,193.63,3387500
1,"Jan 30, 2018",208.07,209.7,199.5,201.95,954400
2,"Jan 29, 2018",208.03,211.5,206.48,208.75,1428400
3,"Jan 26, 2018",210.0,210.99,202.0,203.17,656300
4,"Jan 25, 2018",212.11,213.75,210.21,210.62,367400
5,"Jan 24, 2018",212.6,214.88,209.11,213.14,2822800
6,"Jan 23, 2018",213.0,213.5,208.0,212.18,1045500
7,"Jan 22, 2018",212.01,216.4,210.52,213.8,610400
8,"Jan 19, 2018",210.5,214.5,208.55,213.89,1013300
9,"Jan 18, 2018",211.0,215.5,204.0,209.97,4103500
10,"Jan 17, 2018",208.0,210.5,206.01,209.83,1009500
11,"Jan 16, 2018",205.01,209.99,205.01,208.42,1498400
12,"Jan 15, 2018",210.01,210.75,205.5,206.56,1184700
13,"Jan 12, 2018",213.0,213.5,209.01,211.48,5063200
14,"Jan 11, 2018",215.0,216.98,209.6,213.91,3043100
15,"Jan 10, 2018",209.02,219.0,209.0,215.16,1570300
16,"Jan 9, 2018",211.5,214.0,205.99,210.38,1361700
17,"Jan 8, 2018",209.5,216.85,209.5,215.01,2047900
18,"Jan 5, 2018",201.5,212.0,201.5,210.42,2480200
19,"Jan 4, 2018",195.5,205.88,195.5,204.48,2886700
20,"Jan 3, 2018",195.5,197.99,194.06,196.08,396500
21,"Jan 2, 2018",189.99,197.01,189.0,195.49,1944700
22,"Jan 1, 2018",185.0,190.5,183.0,190.06,371100
23,"Feb 28, 2018",191.0,194.89,188.02,188.66,2174400
24,"Feb 27, 2018",194.0,194.0,187.11,190.71,1289400
25,"Feb 26, 2018",197.0,199.0,193.35,194.39,600100
26,"Feb 23, 2018",198.25,200.01,193.0,196.91,903600
27,"Feb 22, 2018",189.0,200.0,185.95,198.07,2633100
28,"Feb 21, 2018",201.9,202.5,191.95,192.73,3105900
29,"Feb 20, 2018",202.97,203.95,198.03,200.72,1245000
30,"Feb 19, 2018",203.11,205.0,201.5,202.34,323700
31,"Feb 16, 2018",197.15,206.0,196.5,203.55,926600
32,"Feb 15, 2018",197.0,197.5,195.11,197.2,358000
33,"Feb 14, 2018",192.1,197.5,191.6,196.97,849800
34,"Feb 13, 2018",190.9,194.0,189.55,193.45,921600
35,"Feb 12, 2018",196.0,197.0,188.52,189.59,544800
36,"Feb 9, 2018",191.5,197.5,189.0,196.34,708400
37,"Feb 8, 2018",194.45,197.5,192.0,192.22,332100
38,"Feb 7, 2018",190.5,195.0,190.5,194.24,1311100
39,"Feb 6, 2018",189.87,189.95,185.94,189.51,1263100
40,"Feb 2, 2018",190.97,194.78,188.98,190.17,1405100
41,"Feb 1, 2018",193.0,195.4,190.25,190.82,1526300
42,"Mar 30, 2018",207.49,210.49,206.0,208.89,717000
43,"Mar 29, 2018",201.05,206.5,200.5,205.82,727800
44,"Mar 28, 2018",201.01,203.0,200.56,201.78,1727400
45,"Mar 27, 2018",201.0,203.75,199.06,202.62,622300
46,"Mar 26, 2018",195.52,203.5,195.0,201.87,698000
47,"Mar 22, 2018",196.82,198.99,195.25,198.24,740700
48,"Mar 21, 2018",195.79,199.01,194.2,196.82,1052300
49,"Mar 20, 2018",188.12,198.3,188.12,197.79,2525200
50,"Mar 19, 2018",188.5,190.2,187.0,188.86,350700
51,"Mar 16, 2018",190.77,191.01,188.0,188.93,756900
52,"Mar 15, 2018",192.2,192.5,190.12,190.77,188400
53,"Mar 14, 2018",193.02,193.97,191.75,193.15,1379600
54,"Mar 13, 2018",192.5,194.5,191.8,193.44,1027000
55,"Mar 12, 2018",188.5,193.9,188.5,192.35,1025400
56,"Mar 9, 2018",189.0,189.9,188.11,189.06,687500
57,"Mar 8, 2018",190.23,190.7,187.06,189.62,461100
58,"Mar 7, 2018",188.95,192.0,188.01,190.22,344700
