,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
0,"Jan 31, 2018",24.24,25.09,24.02,24.62,3343500
1,"Jan 30, 2018",23.5,23.94,22.92,23.94,6674000
2,"Jan 29, 2018",21.9,22.8,21.9,22.8,2853000
3,"Jan 26, 2018",21.71,22.05,21.41,21.72,617500
4,"Jan 25, 2018",22.11,22.64,21.72,21.82,2027000
5,"Jan 24, 2018",21.9,22.6,21.75,22.34,5386000
6,"Jan 23, 2018",22.09,22.09,21.25,21.62,2480000
7,"Jan 22, 2018",22.47,22.9,21.75,22.0,2484000
8,"Jan 19, 2018",22.25,22.7,21.22,22.3,4945000
9,"Jan 18, 2018",21.25,21.7,21.12,21.68,6382000
10,"Jan 17, 2018",20.09,20.67,20.09,20.67,1270500
11,"Jan 16, 2018",18.9,19.67,18.8,19.67,1772500
12,"Jan 15, 2018",18.3,19.0,18.2,18.67,1171500
13,"Jan 12, 2018",18.45,19.15,18.1,18.48,2198500
14,"Jan 11, 2018",19.35,19.35,18.61,18.67,1384500
15,"Jan 10, 2018",19.7,19.85,18.82,19.0,3063500
16,"Jan 9, 2018",20.01,20.35,19.45,19.57,1818500
17,"Jan 8, 2018",19.55,20.45,19.0,20.01,3088500
18,"Jan 5, 2018",19.89,19.99,18.82,19.48,8214500
19,"Jan 4, 2018",18.99,18.99,18.99,18.99,496000
20,"Jan 3, 2018",17.25,17.99,17.25,17.99,1536000
21,"Jan 2, 2018",15.75,17.02,15.75,16.99,3099500
22,"Jan 1, 2018",17.1,17.1,15.8,16.02,662000
23,"Feb 28, 2018",24.2,24.72,23.8,23.93,1927000
24,"Feb 27, 2018",23.9,24.36,23.66,24.25,1550000
25,"Feb 26, 2018",24.65,24.85,23.85,23.98,2213000
26,"Feb 23, 2018",25.54,26.08,24.1,24.27,5567000
27,"Feb 22, 2018",23.9,25.68,23.85,25.33,5484500
28,"Feb 21, 2018",25.11,25.23,24.32,24.54,3663500
29,"Feb 20, 2018",24.16,24.85,23.53,24.41,3304000
30,"Feb 19, 2018",24.25,24.64,23.76,24.24,2592000
31,"Feb 16, 2018",23.6,24.42,22.76,23.92,3592000
32,"Feb 15, 2018",24.51,25.25,23.53,23.57,8748500
33,"Feb 14, 2018",26.05,26.7,24.72,24.76,11467500
34,"Feb 13, 2018",26.89,27.47,25.86,26.02,3902000
35,"Feb 12, 2018",28.5,28.74,27.09,27.13,4707000
36,"Feb 9, 2018",28.47,29.19,27.5,28.51,6946500
37,"Feb 8, 2018",27.1,28.49,26.2,28.44,14118000
38,"Feb 7, 2018",27.7,28.35,26.55,27.14,6860000
39,"Feb 6, 2018",27.48,28.49,26.6,27.94,7487000
40,"Feb 2, 2018",26.85,27.14,26.51,27.14,2728500
41,"Feb 1, 2018",24.89,25.85,24.65,25.85,3416500
42,"Mar 30, 2018",27.69,28.05,27.05,27.24,5547000
43,"Mar 29, 2018",27.25,28.14,27.25,27.53,7378000
44,"Mar 28, 2018",26.8,27.75,26.5,27.45,5411500
45,"Mar 27, 2018",28.19,28.2,26.76,27.05,6187500
46,"Mar 26, 2018",26.46,28.3,25.66,27.86,24785500
47,"Mar 22, 2018",28.45,28.45,27.01,27.01,8744000
48,"Mar 21, 2018",28.5,29.08,28.22,28.43,9539000
49,"Mar 20, 2018",27.68,28.65,27.61,28.19,10507000
50,"Mar 19, 2018",26.73,27.69,26.55,27.49,4057000
51,"Mar 16, 2018",26.99,27.42,26.55,26.74,1733000
52,"Mar 15, 2018",28.3,28.51,26.91,27.19,10404500
53,"Mar 14, 2018",28.22,28.5,28.02,28.32,3213500
54,"Mar 13, 2018",28.15,28.51,27.7,27.94,2584500
55,"Mar 12, 2018",28.54,29.79,27.51,27.99,9582500
56,"Mar 9, 2018",27.33,28.67,27.15,28.5,11520000
57,"Mar 8, 2018",26.15,27.7,25.81,27.31,7008000
58,"Mar 7, 2018",27.95,27.95,26.21,26.57,6297500
59,"Mar 6, 2018",26.5,27.58,26.4,27.58,10092500
60,"Mar 5, 2018",25.69,26.27,25.45,26.27,10222000
61,"Mar 2, 2018",24.01,25.02,24.0,25.02,5291000
62,"Mar 1, 2018",24.1,24.2,23.3,23.83,3711000
63,"Apr 30, 2018",34.79,34.79,33.7,34.79,8283000
64,"Apr 27, 2018",31.32,33.29,31.32,33.14,10043500
65,"Apr 26, 2018",33.5,33.89,31.4,31.71,9989500
66,"Apr 25, 2018",33.05,33.05,32.31,33.05,12266500
67,"Apr 24, 2018",31.0,31.48,31.0,31.48,2493500
68,"Apr 23, 2018",29.0,29.99,28.71,29.99,11112000
69,"Apr 20, 2018",28.4,28.93,28.06,28.57,5358000
70,"Apr 19, 2018",28.45,29.35,27.72,28.21,9900000
71,"Apr 18, 2018",27.81,28.7,27.8,28.35,7167500
72,"Apr 17, 2018",28.34,28.68,27.53,27.83,10616500
73,"Apr 16, 2018",26.72,28.01,26.5,28.01,12035000
74,"Apr 13, 2018",26.91,27.21,26.58,26.68,3873500
75,"Apr 12, 2018",26.81,27.42,26.7,26.88,5574000
76,"Apr 11, 2018",26.9,27.4,26.7,26.8,4261000
77,"Apr 10, 2018",27.19,27.2,26.65,26.86,3964000
78,"Apr 9, 2018",27.25,27.49,26.95,27.02,2148000
79,"Apr 6, 2018",27.1,27.54,27.02,27.11,2675000
80,"Apr 5, 2018",27.4,27.6,26.9,26.98,2598500
81,"Apr 4, 2018",26.75,27.86,26.7,27.24,5904000
82,"Apr 3, 2018",27.3,27.55,26.52,26.71,3079500
83,"Apr 2, 2018",27.22,27.73,27.03,27.21,2996500
84,"May 31, 2018",29.0,29.29,28.45,28.57,2366500
85,"May 30, 2018",28.8,29.33,28.26,29.0,4128000
86,"May 29, 2018",27.4,28.89,27.08,28.71,4380500
